space_name,phase,visit_type,Title,Event,Action,Outcome,w_card,b_card,i_card,l_card,e_card,Time,Fee,space_1,space_2,space_3,space_4,space_5,Negotiate,requires_dice_roll,path,rolls,end_turn_label,try_again_label,w_card_label,b_card_label,i_card_label,l_card_label,e_card_label,shake_on,tts_field,w_card_narrative,b_card_narrative,i_card_narrative,l_card_narrative,e_card_narrative,is_starting_space,is_resume_hub,is_point_of_no_return,min_w_cards_to_leave,fee_calculation_method,fee_label,auto_apply_funding,auto_trigger_card_types,path_choice_memory_key,is_path_choice_lock_point,display_label_override,review_loop_message,pos_x,pos_y,funding_source,has_final_review_gate,approval_role,npc_speaker,fee_category
,Accept Scope,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEND-SCOPE-CHECK,FUNDING,Subsequent,You again. Already.,"You're back. Cash didn't last? Sit down — I'll listen, but the warmth's gone. This round it's whatever I'm willing to put up. You take it.",Re-pitch the ask. Take whatever the lender offers this time.,New ask on the table.,,,,Draw 1 if you roll a 4,Return 1,5 days,,BANK-FUND-REVIEW,INVESTOR-FUND-REVIEW,,,,NO,Yes,Side quest money,1,Take what they're offering,,,,,,,negative,summary,,,,,,,,,,,,,,,,Lender Review,,420,240,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANK-FUND-REVIEW,FUNDING,First,We're underwriting your file,"We've got your file. Underwriting will work the numbers — amount, rate, timeline. We'll come back with terms. Standard process. Sit tight.","Sign the loan terms, or push for a lower rate.",Loan approved at the bank's terms. Money incoming.,,Draw 1,,,Draw 2,1 day per $200K,1% for loan of up to $1.4M or 2% for loan between $1.5M and 2.75M or 3% above 2.75M,PM-DECISION-CHECK,,,,,YES,No,Side quest money,,Sign the loan,Push for a lower rate,,,,,,,story,,,,,,,,,,,,,,,,Bank Review,,420,20,bank,,,,
,Accept Funding,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANK-FUND-REVIEW,FUNDING,Subsequent,We see you're back,You're back with us. We've already underwritten this project once for {fundingAmount} — second pass means a closer look and a tighter rate. Patience is shorter on this side too.,"A banker stops returning your calls. Take the revised loan, whatever it looks like.",New terms in hand. Whatever they are.,,Draw 1,,,Return 1,1 day per $200K,1% for loan of up to $1.4M or 2% for loan between $1.5M and 2.75M or 3% above 2.75M,PM-DECISION-CHECK,,,,,NO,No,Side quest money,,Take the revised loan,,,,,,,,story,,,,,,,,,,,,,,,,Bank Review,,420,20,bank,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVESTOR-FUND-REVIEW,FUNDING,First,The committee will hear you out,The committee will hear you out. We're slower than the bank and we cost more — but we move real money when we like the deal. Walk us through it.,"Sign with the investors, or push for better terms.",Investor signed. Big money in.,,,,Draw 1 if you roll a 5,Replace 1,,5% of amount borrowed,PM-DECISION-CHECK,,,,,YES,Yes,Side quest money,1,Sign with the investors,Push for better terms,,,,,,negative,summary,,,,,,,,,,,,,,,,Investor Review,,420,130,investor,,,,
,Accept Funding,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVESTOR-FUND-REVIEW,FUNDING,Subsequent,The committee's seen you before,"You're back. We've already put real money into this project once ({fundingAmount}) — the appetite for sweetening terms is gone. Take what we offer this round, or come back later.",An investor contact gets pulled into another deal. Take whatever terms come back.,Took what the committee offered. Moving on.,,,,Draw 1 if you roll a 6,The person to your left takes a card.,,5% of amount borrowed,PM-DECISION-CHECK,,,,,NO,Yes,Side quest money,1,Take their offer,,,,,,,negative,summary,,,,,,,,,,,,,,,,Investor Review,,420,130,investor,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-INITIATION,DESIGN,First,Hunting for an architect,"I'm hunting for an architect. Calls, resumes, interviews — it takes days. I'd rather be building.",Work the phones. See who turns up.,Architect hired. Fees up next.,,,,Draw 1 if you roll a 1,,5 days,,ARCH-FEE-REVIEW,,,,,No,Yes,Main,1,Hire the architect,,,,,,,negative,summary,,,,,,,,,,,,,,,,Find an Architect,Design changes are needed. You must consult with the architect to revise the plans before resubmitting.,620,130,,PM,,PM,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-INITIATION,DESIGN,Subsequent,I want another look at these drawings,"I've been thinking about these drawings overnight and something's off. Give me another pass — I think we can do better. Push back if you have to, but I'd rather get this right than fast.","Accept the redesign, or push back on the changes.",Redesign decision is in.,,,,Draw 1 if you roll a 2,,5 days,,Outcome from rolled dice,,,,,YES,Yes,Main,1,Accept the redesign,Push back on the changes,,,,,,negative,summary,,,,,,,,,,,,,,,,Find an Architect,Design changes are needed. You must consult with the architect to revise the plans before resubmitting.,620,130,,PM,,PM,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-FEE-REVIEW,DESIGN,First,Let's talk about my fee,"We need to talk money. I've put real time into this — sketches, options, conversations with the consultants. The fee covers the work I've already done. It's not unreasonable.","Cut a contact to save budget. Pay the fee, or push back.",Fee agreed. Moving to the design work.,,,,Draw 1 if you roll a 3,Return 1,50 days,,ARCH-SCOPE-CHECK,,,,,YES,Yes,Main,1,Pay the fee,Push back on the fee,,,,,,negative,summary,,,,You've been on this job a while — sometimes things just happen. Keep your head down and hope today isn't one of those days.,"You're cutting staff to save budget. One of your expeditors has to go — pick carefully, they're hard to replace.",,,,,percentage_of_scope,Architect,,,,,Architect's Fee,,620,20,,,,,architectural
,Accept Fee,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-FEE-REVIEW,DESIGN,Subsequent,There's more to the work than I quoted,The scope grew. It always does. The original fee covered the original drawings — what's been added needs to be paid for separately. I'm not nickel-and-diming. This is the actual extra work.,"Pay the extra, or push back on the upcharge.",Additional fee agreed.,,,,Draw 1 if you roll a 4,Draw 1,15 days,,ARCH-SCOPE-CHECK,,,,,YES,Yes,Main,1,Pay the extra,Push back on the upcharge,,,,,,negative,summary,,,,"Back again, and life doesn't stop throwing curveballs. Roll the dice and see what lands.",Your architect friend recommends someone new. Add them to your roster — you'll need the help later.,,,,,percentage_of_scope,Architect,,,,,Architect's Fee,,620,20,,,,,architectural
,Accept Fee,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-SCOPE-CHECK,DESIGN,First,Today is the design reveal,"Today's the day. We've finished the design — every elevation, every section, every detail. Sit through the presentation, then we'll talk about whether it's ready for engineering.","Watch the presentation. Sign off on the design, or send it back.",Design signed off. Engineering next.,,,,Draw 1 if you roll a 5,Replace 1,50 days,,PM-DECISION-CHECK,ENG-INITIATION,,,,YES,Yes,Main,1,Sign off on the design,Send it back,,,,,,negative,summary,,,,,,,,,,,,,,,,See the Design,,620,240,,,,,
,Accept Scope,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-SCOPE-CHECK,DESIGN,Subsequent,Here's the revised design,"Took your feedback. Here are the revised drawings — I think you'll see the changes. If they don't land, send it back again, but I'd rather we converge this round.","Compare the new drawings to the old. Sign off on the revisions, or send them back again.",Design locked. Onward.,,,,Draw 1 if you roll a 6,The person to your right takes a card.,15 days,,PM-DECISION-CHECK,ENG-INITIATION,,,,YES,Yes,Main,1,Sign off on the revisions,Send it back again,,,,,,negative,summary,,,,,,,,,,,,,,,,See the Design,,620,240,,,,,
,Accept Result,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-INITIATION,DESIGN,First,Hunting for an engineer,"I'm hunting for a structural engineer. Same grind as the architect — calls, credentials, interviews.",Work the phones. See who turns up.,Engineer onboarded. Fees next.,,,,Draw 1 if you roll a 1,,5 days,,ENG-FEE-REVIEW,,,,,NO,Yes,Main,1,Hire the engineer,,,,,,,negative,summary,,,,,,,,,,,,,,,,Find an Engineer,Structural or engineering modifications required. The engineer needs to update calculations or drawings.,620,460,,PM,,PM,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-INITIATION,DESIGN,Subsequent,I need another pass at the calcs,"I've been over the structural calculations and I want another pass. Numbers don't lie — if something's off, we fix it now, before steel orders or pour schedules. I'd rather slow down here than have it back at me later.","Accept the engineer's findings, or ask for another pass.",Engineer's verdict in.,,,,Draw 1 if you roll a 2,,5 days,,Outcome from rolled dice,,,,,YES,Yes,Main,1,Accept the engineer's findings,Ask for another pass,,,,,,negative,summary,,,,,,,,,,,,,,,,Find an Engineer,Structural or engineering modifications required. The engineer needs to update calculations or drawings.,620,460,,PM,,PM,
,Accept Result,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-FEE-REVIEW,DESIGN,First,Let's settle the fee,"Let's settle the fee. Structural is precise work — load calcs, code review, stamped drawings. The number reflects the liability I carry on this. I don't pad it.","Every penny counts. Pay the fee, or push back.",Fee settled. On to the design.,,,,Draw 1 if you roll a 3,,50 days,,ENG-SCOPE-CHECK,,,,,YES,Yes,Main,1,Pay the fee,Push back on the fee,,,,,,negative,summary,,,,,,,,,,percentage_of_scope,Engineer,,,,,Engineer's Fee,,620,350,,,,,engineering
,Accept Fee,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-FEE-REVIEW,DESIGN,Subsequent,"More work, more fee","Scope grew. Load calcs need redoing. Either you pay for the additional engineering, or we sign off on what's already there — and I don't recommend that.","Pay the extra, or push back on the upcharge.",Extra fee agreed.,,,,Draw 1 if you roll a 4,,15 days,,ENG-SCOPE-CHECK,,,,,YES,Yes,Main,1,Pay the extra,Push back on the upcharge,,,,,,negative,summary,,,,,,,,,,percentage_of_scope,Engineer,,,,,Engineer's Fee,,620,350,,,,,engineering
,Accept Fee,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-SCOPE-CHECK,DESIGN,First,Structural design is done,Structural design is done. I know it took a while — that's what conservative load paths and code review get you. Sit through the presentation. The numbers are sound.,"Watch the presentation. Sign off on the structure, or send it back.",Structural design signed off. Filings next.,,,,Draw 1 if you roll a 5,,50 days,,PM-DECISION-CHECK,REG-DOB-FEE-REVIEW,,,,YES,Yes,Main,1,Sign off on the structure,Send it back,,,,,,negative,summary,,,,,,,,,,,,,,,,Check the Structure,,620,570,,,,,
,Accept Scope,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-SCOPE-CHECK,DESIGN,Subsequent,"Revised structure, same standards","Revised drawings. The changes are subtle — that's how structural revisions work. I'm not redesigning the wheel, I'm tightening the calcs. Compare them properly before you tell me they look the same.","Compare the new drawings to the old. Accept the revised structure, or send it back again.",Revised design locked.,,,,Draw 1 if you roll a 6,,15 days,,PM-DECISION-CHECK,REG-DOB-FEE-REVIEW,,,,YES,Yes,Main,1,Accept the revised structure,Send it back again,,,,,,negative,summary,,,,,,,,,,,,,,,,Check the Structure,,620,570,,,,,
,Accept Result,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER-DECISION-REVIEW,OWNER,First,I'm not signing off until you hear me,"This one's not yours to call alone. There are pieces of this project I won't budge on — let me tell you which way it's going. You can argue if you want, but you'll lose.","Hear the owner out. Go with the owner's call, or push back.",The owner's call is locked in.,,,,Draw 1 if you roll a 1,,10 days,,PM-DECISION-CHECK,,,,,YES,Yes,side Quest scope,1,Go with the owner's call,Push back on it,,,,,,negative,summary,,,,,,,,,,,,,,,,Owner Decides,,220,130,,,,,
,Agree with Owner,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER-DECISION-REVIEW,OWNER,Subsequent,I want to see the finish line,"Enough back and forth. I want to see this thing finished — here's my call. Take it and move, or come back tomorrow with a better argument.","Owner's decided fast this round. Go with it, or push for one more round.",Owner's done deliberating. Move.,,,,Draw 1 if you roll a 2,,5 days,,PM-DECISION-CHECK,,,,,YES,Yes,side quest scope,1,Go with the owner's call,One more round,,,,,,negative,summary,,,,,,,,,,,,,,,,Owner Decides,,220,130,,,,,
,Agree with Owner,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEAT-BYPASS,OWNER,First,I cut a corner,Owner said get this done at any cost. I'm going to cut a corner. Odds aren't in my favor — I know it.,Quietly let a contact go for deniability. See if the move lands.,I made my move. Now we see if it stuck.,,,,Draw 1 if you roll a 3,Return 1,,,,,,,,No,Yes,side quest cheat,1,Make the play,,,,,,,negative,summary,,,,,,,,Yes,,,,,,,,Cut a Corner,,220,20,,PM,,PM,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEAT-BYPASS,OWNER,Subsequent,Careful version,Last time didn't go well. I'm being a lot more careful this time.,Quietly part ways with another contact. See how the careful version lands.,Careful move made. Let's see.,,,,Draw 1 if you roll a 4,Return 1,,,,,,,,No,Yes,side quest cheat,1,Try the careful version,,,,,,,negative,summary,,,,,,,,Yes,,,,,,,,Cut a Corner,,220,20,,PM,,PM,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-DOB-FEE-REVIEW,REGULATORY,First,Department of Buildings counter,"Department of Buildings. You're here to pay the filing fee — 1% of project value. Standard rate. Sign here, here, and here. We don't haggle on this.",Pay the fee. Hire a few hands to keep the filing clean.,Fees paid. You're in the system.,,,,Draw 1 if you roll a 5,Draw 2,10 days,1%,REG-DOB-TYPE-SELECT,,,,,NO,Yes,Main,1,Pay the DOB fee,,,,,,,negative,summary,,,,,,,,,,,,,,,,City Filing Fee,,820,130,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-DOB-FEE-REVIEW,REGULATORY,Subsequent,DOB add-on bill,"You're back. Add-on fees are owed — review the bill and pay. Once you've paid the original, the add-ons aren't up for debate. We've already done the work on this file.",Swap a worn-out helper. Pay the extra.,Extra fees paid. Onward.,,,,Draw 1 if you roll a 6,Replace 1,10 days,Based on dice roll,REG-DOB-TYPE-SELECT,,,,,No,Yes,Main,1,Pay the extra,,,,,,,negative,summary,,,,,,,,,,,,,,,,City Filing Fee,,820,130,,,,,
,Accept Fee,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-DOB-TYPE-SELECT,REGULATORY,First,I pick my DOB route,I'm picking my filing path. Plan Exam is slow but safe. Prof Cert is fast but risky. The owner wants this done — so do I. The call's mine.,Plan Exam is slower but safer. Prof Cert is faster but riskier. Pick.,Path chosen. I live with it.,,,,Draw 1 if you roll a 1,,10 days,,REG-DOB-PLAN-EXAM,REG-DOB-PROF-CERT,,,,NO,No,Single choice,,Lock in the path,,,,,,,negative,story,,,,,,,,,,,,,,dob_path,Yes,Choose How to File,,820,570,,PM,,PM,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-DOB-TYPE-SELECT,REGULATORY,Subsequent,Waiting in the DOB line,"Clerks are slow today. Nothing to do but wait — paperwork moves at the line's pace, not mine.",Hurry up and wait. That's the DOB rhythm.,Paperwork moved along.,,,,Draw 1 if you roll a 2,,10 days,,REG-DOB-PLAN-EXAM,REG-DOB-PROF-CERT,,,,NO,No,Single choice,,Wait it out,,,,,,,negative,story,,,,,,,,,,,,,,dob_path,Yes,Choose How to File,,820,570,,PM,,PM,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-DOB-PLAN-EXAM,REGULATORY,First,I'm reading your plans,"I'm working through your plans page by page — every elevation, every section. Checking against code. Nothing personal. If there's an objection, I'll write it up. Save us both time and submit clean.","Accept the examiner's verdict, or resubmit with revisions.",Examiner's verdict is in.,,,,Draw 1 if you roll a 3,,10 days,,,,,,,YES,Yes,Regular,1,Accept the examiner's verdict,Resubmit with revisions,,,,,,negative,summary,,,,,,,,,,,,,,,,City Checks Plans,The examiner found minor issues that need to be addressed. Additional documentation or corrections are required before continuing.,820,350,,dob_exam,dob_exam,,
,Accept Result,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-DOB-PLAN-EXAM,REGULATORY,Subsequent,I'm reading the resubmission,"I'm reading the resubmission. I flip faster on the second pass — I already know what to look for. If you fixed the objections, it'll go quick. If you didn't, it'll go quicker.","Accept the second read, or resubmit again.",Second verdict in.,,,,Draw 1 if you roll a 4,,10 days,,,,,,,YES,Yes,Regular,1,Accept the second read,Resubmit again,,,,,,negative,summary,,,,,,,,,,,,,,,,City Checks Plans,The examiner found minor issues that need to be addressed. Additional documentation or corrections are required before continuing.,820,350,,dob_exam,dob_exam,,
,Accept Result,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-DOB-PROF-CERT,REGULATORY,First,Prof Cert filing accepted,"Prof Cert filing. Self-certified — we barely look. That's the deal you signed up for. Stamp it, file it, you're out the door. Just hope the data entry hand types your numbers right — that's on you, not us.",File and hope no one checks too hard.,Cert filed.,,,,,,1 day,,,,,,,No,Yes,Prof,1,File and go,,,,,,,negative,summary,,,,,,,,,,,,,,,,Self-Certify,,820,460,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-DOB-PROF-CERT,REGULATORY,Subsequent,You again — second cert,"You again. Hand it over. Hope your expeditor filled the forms right — at this counter, errors aren't our problem. They're yours.",File and hope.,Filed. For better or worse.,,,,,,1 day,,,,,,,No,Yes,Prof,1,File and hope,,,,,,,negative,summary,,,,,,,,,,,,,,,,Self-Certify,,820,460,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-DOB-AUDIT,REGULATORY,First,Auditor's at your file,"I've pulled your file. ZR-23.5, ZR-25-13, that side yard variance you skipped — I cite them from memory because that's my job. Audits aren't paranoid. They're routine. The findings are yours to accept or contest.","Read the findings. Accept them, or dispute.",Audit findings in hand.,,,,Draw 1 if you roll a 5,,10 days,,REG-DOB-PLAN-EXAM,,,,,YES,Yes,Prof,1,Accept the findings,Dispute the audit,,,,,,negative,summary,,,,,,,,,,,,,,,,The Audit,,820,20,,dob_audit,dob_audit,,
,Accept Result,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-DOB-AUDIT,REGULATORY,Subsequent,Down to the last objections,"You've cleared most of the objections. A few remain. We'll close them out one of two ways — you accept the final findings, or we have one more conversation. I'd recommend the first.","Down to the last few. Accept the final call, or push the last few.",Final audit call is in.,,,,Draw 1 if you roll a 6,,10 days,,REG-DOB-PLAN-EXAM,,,,,YES,Yes,Prof,1,Accept the final call,Push the last few,,,,,,negative,summary,,,,,,,,,,,,,,,,The Audit,,820,20,,dob_audit,dob_audit,,
,Accept Result,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-FDNY-FEE-REVIEW,REGULATORY,First,FDNY intake desk,"FDNY intake. We deal with what kills people in fires — sprinklers, standpipes, alarms, egress. Don't dance with us. Yes/no questions, straight answers. You hedge, we catch it.",Answer the routing questions. Be straight — they catch a hedge.,Path through FDNY determined.,,,,,,1 day,1%,Did you pass FDNY approval before? YES - Space 2 - NO - Space 3,Did the scope change since the last visit? YES - REG-FDNY-PLAN-EXAM - NO - Space 3,Did Department of Buildings send you here? YES - REG-FDNY-PLAN-EXAM - NO - Space 4,Do you have: sprinklers / standpipe / fire alarm / fire suppression? YES - REG-FDNY-PLAN-EXAM - NO - Space 5,Do you have  DOB approval? YES - PM-DECISION-CHECK or CON-INITIATION NO - REG-DOB-TYPE-SELECT,No,No,LOGIC,,Take the FDNY route,,,,,,,,story,,,,,,,,,,,,,,,,Fire Dept. Intake,,820,680,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
