id,term,definition_simple,definition_technical,instructions,category,source,needs_review,aliases,related_terms,image_url,video_url,source_url,instagram_link,last_used_as_wotd,why_it_matters,related_documents,game_card_id,game_space_id,timestamp
audit,Audit,A surprise check by the city to make sure your architect or engineer really did follow all the rules.,[AI-DRAFT] A detailed review of construction documents by DOB to verify code compliance. Can result in objections that must be addressed before approval.,,Processes,game | AI Generated,True,,dob|plan-exam|objection,,,,,,"If the city finds a mistake during an audit, you might have to stop work and fix it, which can be very expensive.",,,,
bank,Bank,,A financial institution that provides construction loans and mortgages for building projects. Banks underwrite loans based on project risk.,,Finance,game,False,lender,loan|underwriting|investor,,,,,,,,,,
basement,Basement,,"A floor level partly or fully below ground. In NYC, 'basement' often refers to illegal basement apartments that don't meet code requirements.",,Construction,iqarius,False,,alteration|violation|certificate-of-occupancy,,,,https://www.instagram.com/unravelcodes/,,,,,,
bis,BIS,Buildings Information System - the city's old online database for looking up building info.,"Buildings Information System - NYC Department of Buildings' free online tool where anyone can check property details, permits, violations, and complaints.",,Agencies,iqarius | AI Generated,True,Buildings Information System,dob|violation|permit,,,,https://www.instagram.com/unravelcodes/,,You can use BIS to check for old violations or permits from years ago that might still be affecting a building.,,,,
certificate,Certificate,,NYC DOB issues several certificate types: Certificate of Occupancy (CO) confirms code compliance; Temporary CO (TCO) permits occupancy while work is pending; Certificate of Compliance verifies equipment code compliance; Elevator and Boiler Certificates prove inspection compliance.,,Documents,iqarius,False,TCO|Certificate of Compliance,certificate-of-occupancy|inspection|permit,,,,https://www.instagram.com/unravelcodes/,,,,,,
certificate-of-correction,Certificate of Correction,,The official document that confirms a violation has been fixed and stops the accumulation of penalties for unresolved violations.,,Documents,iqarius,False,COC,violation|failure-to-comply,,,,https://www.instagram.com/unravelcodes/,,,,,,
change-order,Change Order,,"[AI-DRAFT] A modification to a construction contract that changes the scope, cost, or timeline of a project. Often results from unforeseen conditions.",,Finance,game,True,,contractor|negotiation|scope,,,,,,,,,,
class-of-violation,Class of Violation,,"Categories used to classify DOB violations by severity: Class A (most dangerous, must be fixed immediately), Class B (hazardous), Class C (non-hazardous).",,Legal,iqarius,False,,violation|penalty|failure-to-comply,,,,,,,,,,
clerk,Clerk,An office worker at the Department of Buildings who handles the initial paperwork.,"[AI-DRAFT] A DOB employee who processes permit applications, maintains records, and handles administrative tasks at the Department of Buildings.",,Professionals,game | AI Generated,True,,dob|permit|filing,,,,,,They make sure your application is complete before it goes to the more senior experts for review.,,,,
complaint,Complaint,It is an easy way for governments to keep track of issues reported by their constituents. This process allows the government to figure out if a problem is real or perceived.,"A report filed with NYC agencies about building code issues, unsafe conditions, or illegal construction. Complaints may trigger inspections.",,Processes,iqarius,False,,inspection|violation|dob,,,,,,,,,,
contractor,Contractor,,"A professional hired to perform construction, repair, remodeling, or additions to buildings. In NYC, contractors working on residences must be licensed.",,Professionals,iqarius,False,general contractor|GC,subcontractor|license|construction,,,,https://www.instagram.com/unravelcodes/,,,,,,
demolition-permit,Demolition Permit,,[AI-DRAFT] Official authorization required before tearing down a building or portion of a building. Involves safety reviews and environmental assessments.,,Documents,game,True,,permit|dob|contractor,,,,,,,,,,
dep,DEP,,"NYC Department of Environmental Protection manages the city's water supply, sewers, wastewater treatment, and environmental rules. DEP can issue violations and fines for homeowner-caused issues like leaks or sewer backups that strain infrastructure.",,Agencies,iqarius,False,Department of Environmental Protection,water|sewer|environmental,https://iqarius.com/wp-content/uploads/2025/12/DEP.jpg,,,https://www.instagram.com/unravelcodes/,,,,,,
directive-14,Directive 14,,A DOB enforcement mechanism allowing immediate stop-work orders and penalties for the most serious safety violations on construction sites.,,Legal,iqarius,False,Directive14,swo|violation|safety,,,,,,,,,,
dob,DOB,,"Department of Buildings - NYC agency that reviews and approves building plans and permits, enforces building codes, licenses construction professionals, conducts inspections, and manages building emergencies. Failing to follow DOB requirements can result in violations, fines, stop-work orders, or eviction.",,Agencies,iqarius,False,Department of Buildings,permit|inspection|violation,https://iqarius.com/wp-content/uploads/2024/11/NYC_DOB.jpg,,,https://www.instagram.com/unravelcodes/,,,,,,
dob-now,DOB NOW,,"An online system created by the NYC Department of Buildings to make it easier for homeowners and professionals to handle building permits, inspections, and construction-related paperwork. Users can track permits, schedule inspections, and submit documents online.",,Agencies,iqarius,False,,dob|efiling|permit,https://iqarius.com/wp-content/uploads/2025/11/DOBNOW.jpg,,,,,,,,,
dot,DOT,,"NYC Department of Transportation - issues over 150 different types of sidewalk and roadway construction permits to utilities, contractors, government agencies, and homeowners.",,Agencies,iqarius,False,Department of Transportation,permit|sidewalk|street,https://iqarius.com/wp-content/uploads/2024/12/DOT.jpg,,,https://www.instagram.com/unravelcodes/,,,,,,
ecb,ECB,The Environmental Control Board - the division of OATH that specificly handles building and environmental fines.,"Environmental Control Board - a division of NYC's Office of Administrative Trials and Hearings (OATH) that holds hearings on violations issued by city agencies like DOB, DEP, and FDNY. ECB determines responsibility for violations and assesses fines as an independent tribunal.",,Agencies,iqarius | AI Generated,True,Environmental Control Board,violation|penalty|oath,https://iqarius.com/wp-content/uploads/2025/01/Zrzut-ekranu-2025-01-10-065335.png,,,,,They set the final amount you have to pay for a violation based on the evidence presented in court.,,,,
efiling,eFiling,The system for sending construction plans to the city electronically instead of bringing paper drawings to an office.,"An online platform that property owners, architects, engineers, and contractors use to submit and manage building permit applications and other related filings in NYC.",,Processes,iqarius | AI Generated,True,electronic filing,dob-now|permit|applicant-of-record,,,,,,Makes the permit process much faster and easier to track for everyone involved.,,,,
engineer,Engineer,,"[AI-DRAFT] A licensed professional who designs structural, mechanical, electrical, or plumbing systems for buildings. Works with architects to ensure buildings are safe and functional.",,Professionals,game,True,PE|Professional Engineer,architect|contractor|design,,,,https://www.instagram.com/unravelcodes/,,,,,,
epa,EPA,,"Environmental Protection Agency - federal agency (not NYC) that shapes what property owners must do to protect air, water, and environmental health. Enforces lead-based paint violations, drinking water contamination, asbestos and pesticide mishandling. EPA requirements supersede local DEP and DOB rules.",,Agencies,iqarius,False,Environmental Protection Agency,dep|asbestos|violation,,,,,,,,,,
expeditor,Expeditor,A person who is an expert at navigating the city's confusing paperwork and rules to get permits faster.,"A DOB-registered filing representative (NYC expeditor) who streamlines building permit processes. They submit applications, present projects to DOB clerks and examiners, address objections, and coordinate approvals. With decades of experience, expeditors specialize in accelerating DOB and other agency approvals.",,Professionals,iqarius | AI Generated,True,filing representative|permit expeditor,permit|dob|plan-exam,https://iqarius.com/wp-content/uploads/2025/11/expeditor.jpg,,,,,They know exactly who to talk to at city agencies to get a project moving when it gets stuck.,,,,
facade,Facade,,"[AI-DRAFT] The exterior face of a building, typically the front. Facade work includes repairs, cleaning, and decorative improvements to the building's exterior.",,Construction,game,True,,renovation|exterior|masonry,,,,https://www.instagram.com/unravelcodes/,,,,,,
failure-to-comply,Failure to Comply,,Not correcting a cited issue by the specified deadline and/or failing to certify the correction to the issuing agency. Results in escalating penalties.,,Legal,iqarius,False,FTC,violation|certificate-of-correction|penalty,,,,,,,,,,
fdny,FDNY,The Fire Department of New York - they fight fires and provide emergency medical help.,"Fire Department of New York - agency responsible for fire safety inspections, sprinkler and fire alarm permits, and fire code compliance.",,Agencies,game | AI Generated,True,Fire Department,inspection|sprinkler|fire-safety,,,,https://www.instagram.com/unravelcodes/,,They are the primary protectors of life and property from fire in the city and also inspect buildings for fire safety.,,,,
filing,Filing,,"[AI-DRAFT] The formal submission of construction documents, plans, and applications to DOB for review and approval. Different filing types include new building, alteration, and demolition.",,Processes,game,True,,permit|dob|applicant-of-record,,,,https://www.instagram.com/unravelcodes/,,,,,,
final-review,Final Review,,[AI-DRAFT] The last stage of DOB review before a permit is issued or a certificate of occupancy is granted. Includes final document review and inspections.,,Processes,game,True,,inspection|certificate-of-occupancy|permit,,,,,,,,,,
fire-code-violation,Fire Code Violation,,"Violations issued by FDNY for non-compliance with fire safety regulations including blocked exits, missing fire extinguishers, or faulty sprinkler systems.",,Legal,iqarius,False,,fdny|violation|safety,,,,,,,,,,
fisp,FISP,Facade Inspection Safety Program - the law that says tall buildings must have their front walls checked every 5 years.,Facade Inspection Safety Program - NYC requirement for buildings over 6 stories to have their facades inspected every 5 years by a licensed professional.,,Processes,iqarius | AI Generated,True,Facade Inspection Safety Program|Local Law 11,facade|inspection|safety,,,,,,It's all about public safety; it prevents bricks or pieces of stone from falling off tall buildings and hitting people on the sidewalk.,,,,
fixer-upper,Fixer-Upper,,A property requiring significant repairs or renovations before occupancy. Often purchased below market value with intent to renovate.,,Construction,iqarius,False,,renovation|investment|property,,,,,,,,,,
foundation,Foundation,,"Building foundations rest on solid ground and spread the building's weight within safe limits for the soil. Must comply with NYC Building Code requiring proper soil support, adequate depth (typically 4 feet below frost line), and detailed geotechnical planning.",,Construction,iqarius,False,,structural|underpinning|excavation,https://iqarius.com/wp-content/uploads/2025/11/building-foundation.jpg,,,https://www.instagram.com/unravelcodes/,,,,,,
gas-meter,Gas Meter,,"Owners must ensure gas meters remain in clean, dry locations free of refuse, at least 3 feet from hazards. Storage of combustibles prohibited within 5 feet. Natural gas piping is prone to leaks near meters.",,Construction,iqarius,False,,plumbing|safety|inspection,,,,,,,,,,
green-building,Green Building,,"[AI-DRAFT] Construction that incorporates environmentally sustainable practices including energy efficiency, renewable materials, and reduced environmental impact.",,Construction,game,True,sustainable building,leed|energy-efficient|retrofit,,,,,,,,,,
hpd,HPD,Department of Housing Preservation and Development - the agency that makes sure rental apartments are safe and well-kept.,"Department of Housing Preservation and Development - NYC agency that issues violations when properties violate housing code standards, covering problems like broken equipment, leaks, poor hygiene, or pest issues.",,Agencies,iqarius | AI Generated,True,Department of Housing Preservation and Development,violation|residential|housing,,,,https://www.instagram.com/unravelcodes/,,"If your landlord doesn't provide heat or hot water, HPD is the agency that comes to help you.",,,,
hvac,HVAC,"Heating, Ventilation, and Air Conditioning - the systems that keep a building comfortable and provide fresh air.","[AI-DRAFT] Heating, Ventilation, and Air Conditioning - the mechanical systems that control a building's climate. HVAC work often requires permits and inspections.",,Construction,game | AI Generated,True,Heating Ventilation Air Conditioning,mechanical-systems|permit|contractor,,,,https://www.instagram.com/unravelcodes/,,"In New York, landlords are legally required to provide heat in the winter, and good ventilation is key to stopping the spread of mold and germs.",,,,
illegal-conversion,Illegal Conversion,,"Converting a space to residential use without proper permits or in violation of zoning laws. Common examples include converting basements, attics, or commercial spaces to apartments.",,Legal,iqarius,False,,violation|basement|certificate-of-occupancy,,,,https://www.instagram.com/unravelcodes/,,,,,,
incident,Incident,,"The DOB term for occurrences caused by construction or demolition activity that may or may not result in injury, such as structural failures, equipment collapses, or near-misses.",,Legal,iqarius,False,accident,swo|violation|safety,,,,https://www.instagram.com/unravelcodes/,,,,,,
inspection,Inspection,,"An official examination of construction work by DOB, FDNY, or other agencies to verify compliance with approved plans and building codes.",,Processes,iqarius,False,,inspector|permit|violation,,,,https://www.instagram.com/unravelcodes/,,,,,,
inspector,Inspector,,"NYC inspectors check homes to keep them safe and ensure they follow city rules. DOB inspectors oversee construction, zoning, and major repairs. HPD housing inspectors handle rentals for heat, hot water, pests, leaks, lead paint, and smoke detectors. Both enforce codes through scheduled or surprise visits.",,Professionals,iqarius,False,,inspection|dob|violation,https://iqarius.com/wp-content/uploads/2024/11/home-inspector.jpg,,,https://www.instagram.com/unravelcodes/,,,,,,
investor,Investor,,[AI-DRAFT] An individual or organization that provides capital for construction projects in exchange for ownership stake or expected returns.,,Finance,game,True,,bank|loan|owner,,,,,,,,,,
joist,Joist,,Horizontal structural members that support floors and ceilings. Joists transfer loads to beams and walls. Common in wood-frame and steel construction.,,Construction,iqarius,False,,structural|construction|beam,,,,,,,,,,
kitchen,Kitchen,,"A living room used for cooking with 80+ square feet of floor area, classifying it as habitable space requiring light and air. NYC kitchens must have proper ventilation, sink with running water, and fire-retarded materials.",,Construction,iqarius,False,,renovation|permit|residential,,,,,,,,,,
laa,LAA,"Limited Alteration Application - a simplified permit process for small repair jobs, like fixing a leaky pipe.","Limited Alteration Application - a DOB filing method used for minor alterations with a defined scope of work, such as correcting plumbing violations.",,Documents,iqarius | AI Generated,True,Limited Alteration Application,alteration|permit|filing,,,,https://www.instagram.com/unravelcodes/,,Allows simple repairs to be approved almost immediately so work can get done without long delays.,,,,
leed,LEED,A high-level award for buildings that are built to be super eco-friendly and energy-efficient.,"[AI-DRAFT] Leadership in Energy and Environmental Design - a green building certification program that rates buildings on sustainability, energy efficiency, and environmental impact.",,Construction,game | AI Generated,True,Leadership in Energy and Environmental Design,green-building|certification,,,,,,LEED buildings save the owner money on electricity and water and are better for the environment.,,,,
lmp,LMP,Licensed Master Plumber - a pro who has passed hard tests and is licensed to do any plumbing work in the city.,Licensed Master Plumber - a qualified professional required to perform plumbing work and submit necessary paperwork to the DOB in NYC.,,Professionals,iqarius | AI Generated,True,Licensed Master Plumber,plumbing|license|contractor,,,,,,"In NYC, only an LMP can legally sign the papers needed to get a plumbing permit.",,,,
loan,Loan,,[AI-DRAFT] Borrowed money used to finance construction projects. Construction loans are typically short-term and convert to mortgages upon project completion.,,Finance,game,True,,bank|underwriting|interest,,,,,,,,,,
loc,LOC,Letter of Completion - a final document from the city saying a construction job was finished correctly.,Letter of Completion - a document issued by DOB confirming that construction work has been completed in accordance with approved plans and permits.,,Documents,iqarius | AI Generated,True,Letter of Completion,permit|inspection|final-review,,,,,,"It's the official 'mission accomplished' for a renovation project, meaning all the permits are closed and the work is legal.",,,,
mdl,MDL,Multiple Dwelling Law - the statewide rules for buildings with 3 or more apartments.,"Multiple Dwelling Law - NY State statute defining 'private dwellings' (1-2 families) and 'multiple dwellings' (3+ families). Class A = permanent residence (30+ days), Class B = transient occupancy (hotels). Imposes rules on design, safety, fire protection, and occupancy.",,Legal,iqarius | AI Generated,True,Multiple Dwelling Law,apartment-building|residential|zoning,https://iqarius.com/wp-content/uploads/2025/11/apartment-building-350-260.jpg,,,https://www.instagram.com/unravelcodes/,,This law is why apartment buildings have fire escapes and why landlords must keep the hallways lit and safe.,,,,
mechanical-systems,Mechanical Systems,,"[AI-DRAFT] The non-structural systems in a building including HVAC, plumbing, electrical, and fire protection. Mechanical work requires specialized permits.",,Construction,game,True,,hvac|plumbing|electrical,,,,,,,,,,
mixed-use-development,Mixed-Use Development,,"[AI-DRAFT] A building or project that combines residential, commercial, and/or industrial uses. Common in urban areas to maximize land use efficiency.",,Construction,game,True,mixed-use,residential|commercial|zoning,,,,,,,,,,
mold,Mold,,A fungal growth that can develop in damp building conditions. Mold remediation may require professional handling and can be cited as an HPD violation.,,Construction,iqarius,False,,hpd|violation|remediation,,,,,,,,,,
negotiation,Negotiation,,"[AI-DRAFT] The process of discussing terms between parties in a construction project, such as contract terms, change orders, or dispute resolution.",,Processes,game,True,,change-order|contractor|owner,,,,,,,,,,
notice-of-violation,Notice of Violation,,An official document sent by a NYC agency to inform a property owner that something on their property might not follow local building or safety codes.,,Documents,iqarius,False,NOV,violation|failure-to-comply|penalty,,,,,,,,,,
nycha,NYCHA,New York City Housing Authority - the agency that provides public housing for thousands of New Yorkers.,"New York City Housing Authority - the largest public housing authority in North America, managing affordable housing for over 400,000 residents across 335 developments. Also administers Section 8 vouchers for 235,000+ people in private rentals.",,Agencies,iqarius | AI Generated,True,New York City Housing Authority,hpd|residential|housing,,,,,,"The largest provider of affordable housing in the city, helping families with low and moderate incomes.",,,,
oath,OATH,The city's independent 'court' where building violations and fines are decided.,"Office of Administrative Trials and Hearings - NYC's central, independent administrative law court that handles hearings for violations issued by city agencies.",,Agencies,iqarius | AI Generated,True,Office of Administrative Trials and Hearings,violation|ecb|penalty,,,,,,"If you get a building fine, you go to OATH to argue your case before an independent judge.",,,,
owner,Owner,,"[AI-DRAFT] The property owner who initiates and funds a construction project. The owner hires professionals like architects, engineers, and contractors.",,Professionals,game,True,property owner,project-manager|contractor|investor,,,,https://www.instagram.com/unravelcodes/,,,,,,
penalty,Penalty,,[AI-DRAFT] Financial fines imposed for building code violations. Penalties can accumulate daily until violations are corrected and certified.,,Legal,game,True,fine,violation|failure-to-comply|ecb,,,,https://www.instagram.com/unravelcodes/,,,,,,
permit,Permit,,"Official authorization from NYC's Department of Buildings allowing construction, alteration, demolition, or related work. Permits ensure compliance with building codes, safety regulations, and zoning laws. Types include New Building, Alteration (Types 1-3), and specialized permits.",,Documents,iqarius,False,building permit,dob|filing|inspection,https://iqarius.com/wp-content/uploads/2024/04/building-permit2.jpg,,,https://www.instagram.com/unravelcodes/,,,,,,
plan-exam,Plan Exam,,[AI-DRAFT] The DOB review process where examiners check construction plans for code compliance. Can result in objections that must be resolved before approval.,,Processes,game,True,plan examination,dob|prof-cert|audit,,,,,,,,,,
plan-examiner,Plan Examiner,,[AI-DRAFT] A DOB employee who reviews construction plans and drawings to ensure they comply with building codes before issuing permits.,,Professionals,game,True,,dob|plan-exam|permit,,,,,,,,,,
plumbing,Plumbing,,[AI-DRAFT] The water supply and drainage systems in a building. Plumbing work requires permits and must be performed by licensed plumbers.,,Construction,game,True,,lmp|permit|mechanical-systems,,,,https://www.instagram.com/unravelcodes/,,,,,,
plumbing-violations,Plumbing Violations,,"Violations when plumbing systems fail to meet NYC Plumbing Code standards. Common causes: improper drain slopes, missing clean-outs, incorrect fittings or materials, inadequate fixture clearance.",,Legal,iqarius,False,,violation|lmp|plumbing,,,,,,,,,,
prof-cert,Professional Certification,,"[AI-DRAFT] A faster DOB approval path where a licensed professional certifies that plans comply with code, bypassing standard plan examination. Subject to audit.",,Processes,game,True,Prof Cert|professional certification,plan-exam|audit|architect,,,,,,,,,,
project-manager,Project Manager,,"[AI-DRAFT] The professional responsible for overseeing a construction project from start to finish, coordinating between owner, designers, and contractors.",,Professionals,game,True,PM,owner|contractor|architect,,,,,,,,,,
property,Property,,"Records containing Block & Lot information, existing legal plans, violation copies, sales history, parcel number, title changes, liens, square footage, year built, permits, zoning, and historical records of repairs and alterations.",,Legal,iqarius,False,,bis|acris|deed,https://iqarius.com/wp-content/uploads/2024/09/property300.jpg,,,https://www.instagram.com/unravelcodes/,,,,,,
pw1,PW1,The main form used to apply for a building permit in NYC.,Plan/Work Application - the primary DOB application form for getting approval of construction plans and work. Required for most building projects.,,Documents,iqarius | AI Generated,True,Plan Work Application,permit|filing|dob,,,,https://www.instagram.com/unravelcodes/,,"It's the first page of any permit application and lists the owner, the architect, and the overall scope of the work.",,,,
qewi,QEWI,Qualified Exterior Wall Inspector - a high-level architect or engineer who is an expert at checking building walls for safety.,Qualified Exterior Wall Inspector - a Registered Architect or Professional Engineer certified by DOB to perform exterior wall inspections under the Facade Inspection & Safety Program (FISP/Local Law 11).,,Professionals,iqarius | AI Generated,True,Qualified Exterior Wall Inspector,fisp|facade|inspection,,,,https://www.instagram.com/unravelcodes/,,Only a QEWI can do the official inspections required for the FISP (Facade) program to make sure building fronts aren't dangerous.,,,,
rebny,REBNY,,"Real Estate Board of New York - leading trade association founded in 1896 representing property owners, builders, managers, investors, and brokers. Establishes industry standards and advocates for real estate policies across NYC.",,Agencies,iqarius,False,Real Estate Board of New York,property|investor|real-estate,,,,,,,,,,
renovation,Renovation,,"Any improvement, modification, or repair work done to a property - interiors, exteriors, structural elements, or building systems. Must comply with NYC building codes and typically requires permits. Illegal renovation = work done without proper documentation and permits.",,Construction,iqarius,False,,alteration|retrofit|permit,,,,,,,,,,
residential,Residential,,"Describes the use or occupancy of a building or zoning district type. Becomes relevant when DOB rules, permits, violations, or exemptions depend on whether a building is classified as residential rather than commercial or industrial.",,Legal,iqarius,False,,zoning|apartment-building|dwelling,,,,https://www.instagram.com/unravelcodes/,,,,,,
retrofit,Retrofit,,"[AI-DRAFT] Upgrading an existing building with new or improved systems, such as energy-efficient equipment or seismic improvements.",,Construction,game,True,,renovation|green-building|hvac,,,,,,,,,,
scaffolding,Scaffolding,,Temporary elevated platforms for construction work. NYC requires permits for supported scaffolds over 40 feet and for sidewalk sheds. 2025 standards require 12 feet minimum height and adequate lighting.,,Construction,iqarius,False,sidewalk shed,permit|dob|construction,,,,https://www.instagram.com/unravelcodes/,,,,,,
scope,Scope,,"[AI-DRAFT] The defined extent of work in a construction project, including what will be built, modified, or demolished. Changes to scope affect cost and timeline.",,Processes,game,True,project scope,change-order|contractor|design,,,,https://www.instagram.com/unravelcodes/,,,,,,
seismic-retrofit,Seismic Retrofit,,[AI-DRAFT] Structural modifications to make existing buildings more resistant to earthquakes. Required in some areas for certain building types.,,Construction,game,True,,retrofit|structural|safety,,,,,,,,,,
sprinklers,Sprinklers,,[AI-DRAFT] Fire suppression systems that automatically release water when fire is detected. Sprinkler installation requires FDNY permits and inspections.,,Construction,game,True,fire sprinklers,fdny|fire-safety|permit,,,,https://www.instagram.com/unravelcodes/,,,,,,
swo,SWO,Stop Work Order - a red sign taped to a building by an inspector that says all construction must stop immediately.,Stop Work Order - an order issued when construction or repair work must be stopped because inspectors found unsafe conditions or work that could be dangerous.,,Documents,iqarius | AI Generated,True,Stop Work Order,violation|inspection|dob,,,,https://www.instagram.com/unravelcodes/,,"The city issues an SWO when they find something very dangerous; if you keep working after an SWO, you can be arrested or heavily fined.",,,,
underpinning,Underpinning,,A construction technique to strengthen or deepen existing foundations. Required when excavating near existing buildings or when foundations are inadequate.,,Construction,iqarius,False,,foundation|excavation|structural,,,,https://www.instagram.com/unravelcodes/,,,,,,
underwriting,Underwriting,,"[AI-DRAFT] The process by which a bank or lender evaluates a construction project's risk and determines loan terms, amount, and interest rate.",,Finance,game,True,,bank|loan|investor,,,,,,,,,,
unpermitted,Unpermitted,,Work or installations completed without proper authorization or permits from NYC authorities. Unpermitted work can result in violations and fines.,,Legal,iqarius,False,unpermitted work,permit|violation|legalization,,,,,,,,,,
unsafe-building,Unsafe Building,,"A structure that poses risks to occupants or the public due to structural defects, fire hazards, or other dangerous conditions.",,Legal,iqarius,False,,violation|swo|inspection,,,,,,,,,,
variance,Variance,,[AI-DRAFT] An exception to zoning rules granted by the city allowing a property to be used in a way not normally permitted. Requires approval from the Board of Standards and Appeals.,,Legal,game,True,zoning variance,zoning|bsa|permit,,,,,,,,,,
violation,Violation,,"Notices issued by NYC agencies such as DOB, ECB, and HPD for non-compliance with building, housing, safety, or environmental codes. Violation classes: Class A (most dangerous - fix immediately), Class B (hazardous - 30 days), Class C (non-hazardous - 90 days).",,Legal,iqarius,False,,penalty|failure-to-comply|inspection,https://iqarius.com/wp-content/uploads/2025/01/violation350.jpg,,,https://www.instagram.com/unravelcodes/,,,,,,
wo-permit,W/O Permit,,"Work Without a Permit - construction or alteration work performed without obtaining the necessary DOB permit. The most common violation type in NYC building code enforcement. Can result in fines, mandatory corrections, and additional penalties if hazardous conditions are present.",,Legal,iqarius,False,Work Without Permit|without permit,violation|permit|unpermitted,,,,,,,,,,
zoning,Zoning,,"[AI-DRAFT] Local laws that regulate how land and buildings can be used in different areas. Zoning determines what can be built, how tall, and what uses are permitted.",,Legal,game,True,zoning resolution,variance|zoning-consulting|dob,,,,https://www.instagram.com/unravelcodes/,,,,,,
zoning-consulting,Zoning Consulting,,Expert advice and services related to understanding and complying with the NYC Zoning Resolution and other building codes.,,Processes,iqarius,False,,zoning|variance|expeditor,,,,,,,,,,
fire-department-of-new-york-fdny,Fire Department of New York (FDNY),,The agency responsible for fire protection and emergency medical services in New York City.,,Government Agency,Newsletter,False,,DOB (Department of Buildings),,,,,,,,,,
stop-work-order,stop-work order,,"A legal order from a government agency that requires construction or other work to be halted, typically due to safety or compliance issues.",,regulatory,NYC construction update,False,cease and desist order,,,,,,,,,,,
emissions,Emissions,,The greenhouse gas emissions produced by a building,,Technical,SOLID,False,Carbon Emissions,Greenhouse Gas Emissions,,,,,,,,,,
emissions,Emissions,,The amount of greenhouse gases released into the atmosphere by a building.,,Metric,CUNY Building Performance Lab,False,Carbon emissions,,,,,,,,,,,
55-a-program,55-a Program,A city program that helps people with disabilities get government jobs.,"A program that allows the City of New York to hire individuals with disabilities, even if they do not meet the minimum qualifications for a civil service title.",,Processes,auto-collected | AI Generated,True,,dcas|civil-service-exam|accessibility|government-jobs,,,,,,Makes sure the city workforce is inclusive and gives everyone a fair chance to serve the public.,,,,
