space_name,visit_type,title,story,action_description,outcome_description,can_negotiate,end_turn_label,try_again_label
CON-INITIATION,First,Contractor Selection,"Alright, let's talk business. You need someone to build this thing and I'm your guy.",Evaluate the contractor's quality and cost multiplier. Do the math.,,YES,End Turn,Try Again
CON-INITIATION,Subsequent,Change Order Negotiation,"Look, things changed on site. We need to renegotiate the terms.",The contractor wants a change order. Negotiate the time extension.,,YES,End Turn,Try Again
CON-ISSUES,First,Construction Issues,Construction many time unearths unforeseen issues in the field.,You attempt to resolve everything on the spot because delays are expensive.,,No,End Turn,Try Again
CON-ISSUES,Subsequent,More Construction Issues,Problems never stop at a construction site - but every day counts.,Once again you try to prevent issues. No time for delays.,,No,End Turn,Try Again
CON-INSPECT,First,Construction Inspection,That inspector looks fresh this is either good or bad news.,You notice a safety violation and distract the inspector making him look the other way - will it work?,,No,End Turn,Try Again
CON-INSPECT,Subsequent,Follow-up Inspection,Inspector Johnes never liked you; but at least he tries to be fair.,Luckily the Frank's team just finished in time for this inspection. You think it should be smooth sailing.,,No,End Turn,Try Again
REG-DOB-FINAL-REVIEW,First,DOB Final Review,The clerks are having a birthday party. Everything is delayed an hour,At least the clerks will be happy - you think when you hand in the final files.,,YES,End Turn,Try Again
REG-DOB-FINAL-REVIEW,Subsequent,DOB Final Review Follow-up,the supervisor is consoling one of the clerks - everything is slow again.,Worst part is everyone seems in bad mood. Will they notice the photocopy instead of original?,,YES,End Turn,Try Again
FINISH,First,Project Complete!,You Completed project!,YOU ARE done! Calculate final score.,,No,End Turn,Try Again
FINISH,Subsequent,Project Complete!,You Completed project!,YOU ARE done! Calculate final score.,,No,End Turn,Try Again
