card_id,card_name,card_type,description,effects_on_play,cost,phase_restriction,loan_amount,loan_rate,investment_amount,work_cost
I010,Investment: Hospitality chain expanding into new markets,I,Hospitality chain expanding into new markets,Apply Investment,4500000,Any,,,4500000,
,false,,,,,,,,,
I011,Investment: Hedge fund diversifying into real estate,I,Hedge fund diversifying into real estate,Apply Investment,5000000,Any,,,5000000,
,false,,,,,,,,,
I012,Investment: Philanthropic foundation with focus on urban renewal,I,Philanthropic foundation with focus on urban renewal,Apply Investment,5500000,Any,,,5500000,
,false,,,,,,,,,
I013,Investment: Professional sports team owner branching into development,I,Professional sports team owner branching into development,Apply Investment,6000000,Any,,,6000000,
,false,,,,,,,,,
I014,Investment: Celebrity entrepreneur building personal brand,I,Celebrity entrepreneur building personal brand,Apply Investment,6500000,Any,,,6500000,
,false,,,,,,,,,
I015,Investment: Sovereign wealth fund seeking stable US investments,I,Sovereign wealth fund seeking stable US investments,Apply Investment,7000000,Any,,,7000000,
,false,,,,,,,,,
I016,Investment: Healthcare REIT expanding portfolio,I,Healthcare REIT expanding portfolio,Apply Investment,7500000,Any,,,7500000,
,false,,,,,,,,,
I017,Investment: Crowdfunding platform aggregating small investors,I,Crowdfunding platform aggregating small investors,Apply Investment,4000000,Any,,,4000000,
,false,,,,,,,,,
I018,Investment: University endowment fund diversifying investments,I,University endowment fund diversifying investments,Apply Investment,4500000,Any,,,4500000,
,false,,,,,,,,,
I019,Investment: Insurance company investing surplus funds,I,Insurance company investing surplus funds,Apply Investment,5000000,Any,,,5000000,
,false,,,,,,,,,
I020,Investment: Venture capital firm exploring built environment tech,I,Venture capital firm exploring built environment tech,Apply Investment,5500000,Any,,,5500000,
,false,,,,,,,,,
I021,Investment: Major bank's real estate investment arm,I,Major bank's real estate investment arm,Apply Investment,8000000,Any,,,8000000,
,false,,,,,,,,,
I022,Investment: International construction conglomerate,I,International construction conglomerate,Apply Investment,8500000,Any,,,8500000,
,false,,,,,,,,,
I023,Investment: Tech giant investing in smart city initiatives,I,Tech giant investing in smart city initiatives,Apply Investment,9000000,Any,,,9000000,
,false,,,,,,,,,
I024,Investment: National pension fund seeking long-term stable returns,I,National pension fund seeking long-term stable returns,Apply Investment,9500000,Any,,,9500000,
,false,,,,,,,,,
I025,Investment: Luxury goods company expanding into branded residences,I,Luxury goods company expanding into branded residences,Apply Investment,10000000,Any,,,10000000,
,false,,,,,,,,,
I026,Investment: Energy company diversifying into real estate,I,Energy company diversifying into real estate,Apply Investment,8000000,Any,,,8000000,
,false,,,,,,,,,
I027,Investment: Automotive manufacturer investing in future mobility hubs,I,Automotive manufacturer investing in future mobility hubs,Apply Investment,8500000,Any,,,8500000,
,false,,,,,,,,,
I028,Investment: Media conglomerate creating entertainment districts,I,Media conglomerate creating entertainment districts,Apply Investment,9000000,Any,,,9000000,
,false,,,,,,,,,
I029,Investment: Aerospace company developing vertiport infrastructure,I,Aerospace company developing vertiport infrastructure,Apply Investment,9500000,Any,,,9500000,
,false,,,,,,,,,
I030,Investment: E-commerce giant investing in logistics real estate,I,E-commerce giant investing in logistics real estate,Apply Investment,10000000,Any,,,10000000,
,false,,,,,,,,,
I031,Investment: Global hotel chain funding mixed-use developments,I,Global hotel chain funding mixed-use developments,Apply Investment,8000000,Any,,,8000000,
,false,,,,,,,,,
I032,Investment: Social media company creating collaborative workspaces,I,Social media company creating collaborative workspaces,Apply Investment,8500000,Any,,,8500000,
,false,,,,,,,,,
I033,Investment: Major league sports association developing sports districts,I,Major league sports association developing sports districts,Apply Investment,10500000,Any,,,10500000,
,false,,,,,,,,,
I034,Investment: Global investment bank's real estate fund,I,Global investment bank's real estate fund,Apply Investment,11000000,Any,,,11000000,
,false,,,,,,,,,
I035,Investment: International airport operator expanding commercial holdings,I,International airport operator expanding commercial holdings,Apply Investment,11500000,Any,,,11500000,
,false,,,,,,,,,
I036,Investment: Multinational tech consortium building smart city,I,Multinational tech consortium building smart city,Apply Investment,12000000,Any,,,12000000,
,false,,,,,,,,,
I037,Investment: National railway company developing transit-oriented projects,I,National railway company developing transit-oriented projects,Apply Investment,10500000,Any,,,10500000,
,false,,,,,,,,,
I038,Investment: Global theme park operator expanding into urban entertainment,I,Global theme park operator expanding into urban entertainment,Apply Investment,11000000,Any,,,11000000,
,false,,,,,,,,,
I039,Investment: International expo committee funding legacy project,I,International expo committee funding legacy project,Apply Investment,11500000,Any,,,11500000,
,false,,,,,,,,,
L001,Neighborly Complaints,L,The next inspection takes 3 additional ticks.,Apply Legal,0,CONSTRUCTION,,,,
,false,,,,,,,,,
L002,Economic Downturn,L,All permit and inspection times increase by 2 ticks for the next 3 turns.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L003,New Safety Regulations,L,All players must discard 1 Expeditor card. All inspections take 3 additional ticks this turn.,Apply Legal,0,CONSTRUCTION,,,,
,false,,,,,,,,,
L004,Labor Strike,L,All construction times increase by 4 ticks for the next 2 turns.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L005,Positive Press,L,The current high-profile client filing takes 3 ticks less time. Draw 1 Expeditor Card.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L006,Unexpected Archeological Find,L,If a filing involves excavation increase its time by 6 ticks.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L007,Zoning Variance Required,L,The current filing takes 4 ticks more time. Draw 1 Expeditor Card.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L008,Materials Shortage,L,All players' current construction phase takes 3 ticks more time.,Apply Legal,0,CONSTRUCTION,,,,
,false,,,,,,,,,
L009,NIMBY Lawsuit,L,Roll a die. On 1-3 the project is high-profile; increase the current filing time by 5 ticks. On 4-6 no effect.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L010,City Council Allies,L,The current permit filing takes 2 ticks less time. Draw 1 Expeditor Card.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L011,Holiday Rush,L,All filing times increase by 2 ticks this turn.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L012,Soil Contamination,L,If the current project involves groundwork increase the filing time by 4 ticks.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L013,Endangered Species Habitat,L,Roll a die. On 1-3 the project is in a designated habitat area; increase the permit filing time by 6 ticks. On 4-6 no effect.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L014,Funding Delay,L,Skip your next turn.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L015,Annexation,L,The current filing takes 5 ticks more time but the player's next turn takes 2 ticks less time.,Apply Legal,0,Any,,,,Immediate
,false,,,,,,,,,
L016,Expeditor Lobbying,L,The next inspection takes 2 ticks less time. Discard 1 Expeditor card.,Apply Legal,0,CONSTRUCTION,,,,
,false,,,,,,,,,
L017,Neighborhood Revitalization,L,Roll a die. On 1-3 the project is in a targeted revitalization area; reduce the permit filing time by 3 ticks. On 4-6 no effect.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L018,Bribery Scandal,L,All permit filing times increase by 2 ticks for the next 3 turns.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L019,Planning Department Backlog,L,The current filing takes 3 ticks more time.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L020,Building Code Update,L,All inspection times increase by 2 ticks for the next 2 turns.,Apply Legal,0,CONSTRUCTION,,,,
,false,,,,,,,,,
L021,High-Profile Client,L,The current filing time is reduced by 4 ticks. All other players' current filing time increases by 1 tick.,Apply Legal,0,Any,,,,Immediate
,false,,,,,,,,,
L022,Economic Boom,L,All construction times decrease by 2 ticks for the next 3 turns.,Apply Legal,0,CONSTRUCTION,,,,
,false,,,,,,,,,
L023,Project Redesign,L,The current filing is delayed indefinitely. Discard 2 Expeditor cards.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L024,Expeditor Conference,L,Skip this turn. Draw 2 Expeditor Cards.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L025,Celebrity Endorsement,L,Roll a die. On 1-3 the project is high-profile; reduce the permit filing time by 4 ticks. On 4-6 no effect.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L026,Community Outreach,L,All permit filing times decrease by 1 tick this turn.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L027,Permit Office Upgrade,L,All players' current filing times decrease by 2 ticks.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L028,Surprise Inspection,L,The next inspection takes 4 ticks more time.,Apply Legal,0,CONSTRUCTION,,,,
,false,,,,,,,,,
L029,Utility Delay,L,If the project requires utility hookups increase the filing time by 3 ticks.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L030,Cybersecurity Breach,L,All filing times increase by 1 tick for the next 2 turns.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L031,Permit Fee Hike,L,The current permit filing costs 2 extra resources but takes 2 ticks less time.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L032,Diversity Initiative,L,Roll a die. On 1-3 the project team is diverse; reduce the inspection time by 2 ticks. On 4-6 no effect.,Apply Legal,0,CONSTRUCTION,,,,
,false,,,,,,,,,
L033,Worksite Injury,L,All construction times increase by 3 ticks this turn.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L034,Natural Disaster,L,All filing and inspection times increase by 4 ticks for the next 2 turns.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L035,Expeditor Quits,L,Skip your next turn. Discard 2 Expeditor cards.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L036,City Budget Surplus,L,All permit filing times decrease by 2 ticks this turn.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L037,Affordable Housing Initiative,L,Roll a die. On 1-3 the project includes affordable housing; reduce the permit filing time by 5 ticks. On 4-6 no effect.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L038,Intern Error,L,The current filing time increases by 2 ticks.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L039,Rezoning Request,L,The current filing time increases by 3 ticks. Draw 1 Expeditor Card.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L040,Historical Preservation,L,Roll a die. On 1-3 the project involves a historic building; increase the filing time by 4 ticks. On 4-6 no effect.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L041,Competing Projects,L,Ask each other player about their current worktypes. If any player has the same worktype as you increase your filing time by 2 ticks.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L042,Sister City Collaboration,L,All players' current filing times decrease by 1 tick.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L043,Green Building Bonus,L,Roll a die. On 1-3 the project is LEED certified; reduce the total filing time by 3 ticks. On 4-6 no effect.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L044,State Funding,L,The current high-profile project filing time is reduced by 4 ticks.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L045,Mayor's Pet Project,L,Roll a die. On 1-3 the mayor expresses interest in the project; reduce its filing time by 5 ticks. On 4-6 no effect.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L046,Expeditor Awards,L,The player with the most completed projects reduces their current filing time by 4 ticks.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L047,Political Gridlock,L,All filing times increase by 1 tick for the next 5 turns.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L048,Graft Investigation,L,All permit filings are halted for 1 turn while players discard half their Expeditor cards.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
L049,Permitting Process Overhaul,L,All filing times are reduced by 2 ticks for the remainder of the game. Each player draws 1 Expeditor Card.,Apply Legal,0,Any,,,,
,false,,,,,,,,,
W001,Lobby renovation and security upgrade for corporate headquarters,W,Lobby renovation and security upgrade for corporate headquarters,Apply Work,150000,Any,,,,150000
,false,,,,,,,,,
W002,Conversion of attic space into habitable loft in single-family home,W,Conversion of attic space into habitable loft in single-family home,Apply Work,80000,Any,,,,80000
,false,,,,,,,,,
W003,Installation of green wall and rooftop garden for eco-friendly office building,W,Installation of green wall and rooftop garden for eco-friendly office building,Apply Work,200000,Any,,,,200000
,false,,,,,,,,,
W004,Renovation of historic theater including restoration of ornate plasterwork,W,Renovation of historic theater including restoration of ornate plasterwork,Apply Work,950000,Any,,,,950000
,false,,,,,,,,,
W005,Construction of new emergency department addition to existing hospital,W,Construction of new emergency department addition to existing hospital,Apply Work,4500000,Any,,,,4500000
,false,,,,,,,,,
W006,Adaptive reuse of abandoned warehouse into mixed-use development,W,Adaptive reuse of abandoned warehouse into mixed-use development,Apply Work,3000000,Any,,,,3000000
,false,,,,,,,,,
W007,Energy-efficient retrofit of 1960s office building,W,Energy-efficient retrofit of 1960s office building,Apply Work,1200000,Any,,,,1200000
,false,,,,,,,,,
W008,Expansion of public library with new children's wing,W,Expansion of public library with new children's wing,Apply Work,2500000,Any,,,,2500000
,false,,,,,,,,,
W009,Conversion of strip mall into senior living community,W,Conversion of strip mall into senior living community,Apply Work,5000000,Any,,,,5000000
,false,,,,,,,,,
W010,Restoration of fire-damaged apartment building,W,Restoration of fire-damaged apartment building,Apply Work,800000,Any,,,,800000
,false,,,,,,,,,
W011,Construction of rooftop amenity space for luxury condominium,W,Construction of rooftop amenity space for luxury condominium,Apply Work,600000,Any,,,,600000
,false,,,,,,,,,
W012,Renovation of industrial space into trendy restaurant,W,Renovation of industrial space into trendy restaurant,Apply Work,450000,Any,,,,450000
,false,,,,,,,,,
W013,Accessibility upgrades for historic courthouse,W,Accessibility upgrades for historic courthouse,Apply Work,350000,Any,,,,350000
,false,,,,,,,,,
W014,Conversion of former school into affordable housing units,W,Conversion of former school into affordable housing units,Apply Work,4000000,Any,,,,4000000
,false,,,,,,,,,
W015,Facade restoration of Art Deco skyscraper,W,Facade restoration of Art Deco skyscraper,Apply Work,1800000,Any,,,,1800000
,false,,,,,,,,,
W016,Construction of new visitor center for national park,W,Construction of new visitor center for national park,Apply Work,2000000,Any,,,,2000000
,false,,,,,,,,,
W017,Renovation of airport terminal for improved passenger flow,W,Renovation of airport terminal for improved passenger flow,Apply Work,7500000,Any,,,,7500000
,false,,,,,,,,,
W018,Conversion of big box store into indoor vertical farm,W,Conversion of big box store into indoor vertical farm,Apply Work,3500000,Any,,,,3500000
,false,,,,,,,,,
W019,Seismic retrofit and renovation of city hall,W,Seismic retrofit and renovation of city hall,Apply Work,6000000,Any,,,,6000000
,false,,,,,,,,,
W020,Construction of new performing arts center on university campus,W,Construction of new performing arts center on university campus,Apply Work,12000000,Any,,,,12000000
,false,,,,,,,,,
W021,Renovation of historic hotel into boutique accommodation,W,Renovation of historic hotel into boutique accommodation,Apply Work,5500000,Any,,,,5500000
,false,,,,,,,,,
W022,Construction of new fire station with training facilities,W,Construction of new fire station with training facilities,Apply Work,3800000,Any,,,,3800000
,false,,,,,,,,,
W023,Installation of gray water recycling system for large apartment complex,W,Installation of gray water recycling system for large apartment complex,Apply Work,350000,Any,,,,350000
,false,,,,,,,,,
W024,Replacement of lead service lines for entire city block of rowhouses,W,Replacement of lead service lines for entire city block of rowhouses,Apply Work,500000,Any,,,,500000
,false,,,,,,,,,
W025,New cryogenic piping system for research laboratory,W,New cryogenic piping system for research laboratory,Apply Work,180000,Any,,,,180000
,false,,,,,,,,,
W026,Installation of solar thermal hot water system for hotel,W,Installation of solar thermal hot water system for hotel,Apply Work,120000,Any,,,,120000
,false,,,,,,,,,
W027,Upgrade of plumbing fixtures to low-flow models in university dormitory,W,Upgrade of plumbing fixtures to low-flow models in university dormitory,Apply Work,90000,Any,,,,90000
,false,,,,,,,,,
W028,Installation of rainwater harvesting system for office park,W,Installation of rainwater harvesting system for office park,Apply Work,280000,Any,,,,280000
,false,,,,,,,,,
W029,Replacement of corroded plumbing stack in high-rise condominium,W,Replacement of corroded plumbing stack in high-rise condominium,Apply Work,200000,Any,,,,200000
,false,,,,,,,,,
W030,New medical gas system for hospital expansion,W,New medical gas system for hospital expansion,Apply Work,450000,Any,,,,450000
,false,,,,,,,,,
W031,Installation of greywater system for public park irrigation,W,Installation of greywater system for public park irrigation,Apply Work,150000,Any,,,,150000
,false,,,,,,,,,
W032,Upgrade of storm drainage system for large industrial site,W,Upgrade of storm drainage system for large industrial site,Apply Work,320000,Any,,,,320000
,false,,,,,,,,,
W033,New plumbing system for food processing facility,W,New plumbing system for food processing facility,Apply Work,380000,Any,,,,380000
,false,,,,,,,,,
W034,Installation of water treatment system for brewery,W,Installation of water treatment system for brewery,Apply Work,110000,Any,,,,110000
,false,,,,,,,,,
W035,Replacement of aging sewer lines in historic district,W,Replacement of aging sewer lines in historic district,Apply Work,600000,Any,,,,600000
,false,,,,,,,,,
W036,New plumbing for green building with composting toilets,W,New plumbing for green building with composting toilets,Apply Work,85000,Any,,,,85000
,false,,,,,,,,,
W037,Installation of snowmelt system for pedestrian plaza,W,Installation of snowmelt system for pedestrian plaza,Apply Work,95000,Any,,,,95000
,false,,,,,,,,,
W038,Upgrade of plumbing systems in century-old apartment building,W,Upgrade of plumbing systems in century-old apartment building,Apply Work,250000,Any,,,,250000
,false,,,,,,,,,
W039,Installation of geothermal heating and cooling system for new school campus,W,Installation of geothermal heating and cooling system for new school campus,Apply Work,2500000,Any,,,,2500000
,false,,,,,,,,,
W040,Retrofit of existing HVAC system with UV air purification for medical facility,W,Retrofit of existing HVAC system with UV air purification for medical facility,Apply Work,400000,Any,,,,400000
,false,,,,,,,,,
W041,New clean room HVAC system for semiconductor manufacturing plant,W,New clean room HVAC system for semiconductor manufacturing plant,Apply Work,1800000,Any,,,,1800000
,false,,,,,,,,,
W042,Installation of heat recovery ventilation system in passive house project,W,Installation of heat recovery ventilation system in passive house project,Apply Work,75000,Any,,,,75000
,false,,,,,,,,,
W043,Upgrade to variable refrigerant flow (VRF) system in boutique office building,W,Upgrade to variable refrigerant flow (VRF) system in boutique office building,Apply Work,350000,Any,,,,350000
,false,,,,,,,,,
W044,Installation of district heating system for university campus,W,Installation of district heating system for university campus,Apply Work,3000000,Any,,,,3000000
,false,,,,,,,,,
W045,New HVAC system for data center with hot aisle containment,W,New HVAC system for data center with hot aisle containment,Apply Work,1200000,Any,,,,1200000
,false,,,,,,,,,
W046,Upgrade of mechanical systems in historic theater for improved acoustics,W,Upgrade of mechanical systems in historic theater for improved acoustics,Apply Work,500000,Any,,,,500000
,false,,,,,,,,,
W047,Installation of energy-efficient HVAC system in green office tower,W,Installation of energy-efficient HVAC system in green office tower,Apply Work,2000000,Any,,,,2000000
,false,,,,,,,,,
W048,New mechanical systems for pharmaceutical clean room facility,W,New mechanical systems for pharmaceutical clean room facility,Apply Work,1500000,Any,,,,1500000
,false,,,,,,,,,
W049,Retrofit of chiller plant for improved energy efficiency in hospital,W,Retrofit of chiller plant for improved energy efficiency in hospital,Apply Work,800000,Any,,,,800000
,false,,,,,,,,,
W050,Installation of water mist fire suppression system in data center,W,Installation of water mist fire suppression system in data center,Apply Work,250000,Any,,,,250000
,false,,,,,,,,,
