space_name,visit_type,title,story,action_description,outcome_description,can_negotiate,end_turn_label,try_again_label,shake_on,tts_field
INVESTOR-FUND-REVIEW,First,The committee will hear you out,The committee will hear you out. We're slower than the bank and we cost more — but we move real money when we like the deal. Walk us through it.,"Sign with the investors, or push for better terms.",Investor signed. Big money in.,YES,Sign with the investors,Push for better terms,negative,summary
INVESTOR-FUND-REVIEW,Subsequent,The committee's seen you before,"You're back. We've already put real money into this project once ({fundingAmount}) — the appetite for sweetening terms is gone. Take what we offer this round, or come back later.",An investor contact gets pulled into another deal. Take whatever terms come back.,Took what the committee offered. Moving on.,NO,Take their offer,Try Again,negative,summary
ARCH-INITIATION,First,Hunting for an architect,"I'm hunting for an architect. Calls, resumes, interviews — it takes days. I'd rather be building.",Work the phones. See who turns up.,Architect hired. Fees up next.,No,Hire the architect,Try Again,negative,summary
ARCH-INITIATION,Subsequent,I want another look at these drawings,"I've been thinking about these drawings overnight and something's off. Give me another pass — I think we can do better. Push back if you have to, but I'd rather get this right than fast.","Accept the redesign, or push back on the changes.",Redesign decision is in.,YES,Accept the redesign,Push back on the changes,negative,summary
ARCH-FEE-REVIEW,First,Let's talk about my fee,"We need to talk money. I've put real time into this — sketches, options, conversations with the consultants. The fee covers the work I've already done. It's not unreasonable.","Cut a contact to save budget. Pay the fee, or push back.",Fee agreed. Moving to the design work.,YES,Pay the fee,Push back on the fee,negative,summary
ARCH-FEE-REVIEW,Subsequent,There's more to the work than I quoted,The scope grew. It always does. The original fee covered the original drawings — what's been added needs to be paid for separately. I'm not nickel-and-diming. This is the actual extra work.,"Pay the extra, or push back on the upcharge.",Additional fee agreed.,YES,Pay the extra,Push back on the upcharge,negative,summary
ARCH-SCOPE-CHECK,First,Today is the design reveal,"Today's the day. We've finished the design — every elevation, every section, every detail. Sit through the presentation, then we'll talk about whether it's ready for engineering.","Watch the presentation. Approve the design, or send it back.",Design approved. Engineering next.,YES,Approve the design,Send it back,negative,summary
ARCH-SCOPE-CHECK,Subsequent,Here's the revised design,"Took your feedback. Here are the revised drawings — I think you'll see the changes. If they don't land, send it back again, but I'd rather we converge this round.","Compare the new drawings to the old. Approve the revisions, or send them back again.",Design locked. Onward.,YES,Approve the revisions,Send it back again,negative,summary
ENG-INITIATION,First,Hunting for an engineer,"I'm hunting for a structural engineer. Same grind as the architect — calls, credentials, interviews.",Work the phones. See who turns up.,Engineer onboarded. Fees next.,NO,Hire the engineer,Try Again,negative,summary
ENG-INITIATION,Subsequent,I need another pass at the calcs,"I've been over the structural calculations and I want another pass. Numbers don't lie — if something's off, we fix it now, before steel orders or pour schedules. I'd rather slow down here than have it back at me later.","Accept the engineer's findings, or ask for another pass.",Engineer's verdict in.,YES,Accept the engineer's findings,Ask for another pass,negative,summary
ENG-FEE-REVIEW,First,Let's settle the fee,"Let's settle the fee. Structural is precise work — load calcs, code review, stamped drawings. The number reflects the liability I carry on this. I don't pad it.","Every penny counts. Pay the fee, or push back.",Fee settled. On to the design.,YES,Pay the fee,Push back on the fee,negative,summary
ENG-FEE-REVIEW,Subsequent,"More work, more fee","Scope grew. Load calcs need redoing. Either you pay for the additional engineering, or we sign off on what's already there — and I don't recommend that.","Pay the extra, or push back on the upcharge.",Extra fee agreed.,YES,Pay the extra,Push back on the upcharge,negative,summary
ENG-SCOPE-CHECK,First,Structural design is done,Structural design is done. I know it took a while — that's what conservative load paths and code review get you. Sit through the presentation. The numbers are sound.,"Watch the presentation. Approve the structure, or send it back.",Structural design approved. Filings next.,YES,Approve the structure,Send it back,negative,summary
ENG-SCOPE-CHECK,Subsequent,"Revised structure, same standards","Revised drawings. The changes are subtle — that's how structural revisions work. I'm not redesigning the wheel, I'm tightening the calcs. Compare them properly before you tell me they look the same.","Compare the new drawings to the old. Accept the revised structure, or send it back again.",Revised design locked.,YES,Accept the revised structure,Send it back again,negative,summary
OWNER-DECISION-REVIEW,First,I'm not signing off until you hear me,"This one's not yours to call alone. There are pieces of this project I won't budge on — let me tell you which way it's going. You can argue if you want, but you'll lose.","Hear the owner out. Go with the owner's call, or push back.",The owner's call is locked in.,YES,Go with the owner's call,Push back on it,negative,summary
OWNER-DECISION-REVIEW,Subsequent,I want to see the finish line,"Enough back and forth. I want to see this thing finished — here's my call. Take it and move, or come back tomorrow with a better argument.","Owner's decided fast this round. Go with it, or push for one more round.",Owner's done deliberating. Move.,YES,Go with the owner's call,One more round,negative,summary
CHEAT-BYPASS,First,I cut a corner,Owner said get this done at any cost. I'm going to cut a corner. Odds aren't in my favor — I know it.,Quietly let a contact go for deniability. See if the move lands.,I made my move. Now we see if it stuck.,No,Make the play,Try Again,negative,summary
CHEAT-BYPASS,Subsequent,Careful version,Last time didn't go well. I'm being a lot more careful this time.,Quietly part ways with another contact. See how the careful version lands.,Careful move made. Let's see.,No,Try the careful version,Try Again,negative,summary
REG-DOB-FEE-REVIEW,First,Department of Buildings counter,"Department of Buildings. You're here to pay the filing fee — 1% of project value. Standard rate. Sign here, here, and here. We don't haggle on this.",Pay the fee. Hire a few hands to keep the filing clean.,Fees paid. You're in the system.,NO,Pay the DOB fee,Try Again,negative,summary
REG-DOB-FEE-REVIEW,Subsequent,DOB add-on bill,"You're back. Add-on fees are owed — review the bill and pay. Once you've paid the original, the add-ons aren't up for debate. We've already done the work on this file.",Swap a worn-out helper. Pay the extra.,Extra fees paid. Onward.,No,Pay the extra,Try Again,negative,summary
REG-DOB-TYPE-SELECT,First,I pick my DOB route,I'm picking my filing path. Plan Exam is slow but safe. Prof Cert is fast but risky. The owner wants this done — so do I. The call's mine.,Plan Exam is slower but safer. Prof Cert is faster but riskier. Pick.,Path chosen. I live with it.,NO,Lock in the path,Try Again,negative,story
REG-DOB-TYPE-SELECT,Subsequent,Waiting in the DOB line,"Clerks are slow today. Nothing to do but wait — paperwork moves at the line's pace, not mine.",Hurry up and wait. That's the DOB rhythm.,Paperwork moved along.,NO,Wait it out,Try Again,negative,story
REG-DOB-PLAN-EXAM,First,I'm reading your plans,"I'm working through your plans page by page — every elevation, every section. Checking against code. Nothing personal. If there's an objection, I'll write it up. Save us both time and submit clean.","Accept the examiner's verdict, or resubmit with revisions.",Examiner's verdict is in.,YES,Accept the examiner's verdict,Resubmit with revisions,negative,summary
REG-DOB-PLAN-EXAM,Subsequent,I'm reading the resubmission,"I'm reading the resubmission. I flip faster on the second pass — I already know what to look for. If you fixed the objections, it'll go quick. If you didn't, it'll go quicker.","Accept the second read, or resubmit again.",Second verdict in.,YES,Accept the second read,Resubmit again,negative,summary
REG-DOB-PROF-CERT,First,Prof Cert filing accepted,"Prof Cert filing. Self-certified — we barely look. That's the deal you signed up for. Stamp it, file it, you're out the door. Just hope the data entry hand types your numbers right — that's on you, not us.",File and hope no one checks too hard.,Cert filed.,No,File and go,Try Again,negative,summary
REG-DOB-PROF-CERT,Subsequent,You again — second cert,"You again. Hand it over. Hope your expeditor filled the forms right — at this counter, errors aren't our problem. They're yours.",File and hope.,Filed. For better or worse.,No,File and hope,Try Again,negative,summary
REG-DOB-AUDIT,First,Auditor's at your file,"I've pulled your file. ZR-23.5, ZR-25-13, that side yard variance you skipped — I cite them from memory because that's my job. Audits aren't paranoid. They're routine. The findings are yours to accept or contest.","Read the findings. Accept them, or dispute.",Audit findings in hand.,YES,Accept the findings,Dispute the audit,negative,summary
REG-DOB-AUDIT,Subsequent,Down to the last objections,"You've cleared most of the objections. A few remain. We'll close them out one of two ways — you accept the final findings, or we have one more conversation. I'd recommend the first.","Down to the last few. Accept the final call, or push the last few.",Final audit call is in.,YES,Accept the final call,Push the last few,negative,summary
REG-FDNY-FEE-REVIEW,First,FDNY intake desk,"FDNY intake. We deal with what kills people in fires — sprinklers, standpipes, alarms, egress. Don't dance with us. Yes/no questions, straight answers. You hedge, we catch it.",Answer the routing questions. Be straight — they catch a hedge.,Path through FDNY determined.,No,Take the FDNY route,Try Again,,story
REG-FDNY-FEE-REVIEW,Subsequent,"FDNY intake, second visit","Second visit. We remember faces here. Recognition usually means more attention, not less. Same questions — answer them the same way.",Run through intake again. Be straight — they remember inconsistencies.,Path through FDNY updated.,No,Take the updated route,Try Again,,story
REG-FDNY-PLAN-EXAM,First,FDNY plan exam,"I read for what kills people in fires. Sprinkler heads, standpipe risers, egress widths, alarm zones. Sound like you know the code if you want — I actually know it. Objections come back specific.","Accept FDNY's verdict, or push back on objections.",FDNY verdict in.,YES,Accept FDNY's verdict,Push back on objections,negative,summary
REG-FDNY-PLAN-EXAM,Subsequent,FDNY second read — final,You've been here once. We don't do third negotiations — this round you get a stamp or you don't. Sit quietly. Speak only when spoken to.,Approval stamp or denial stamp — which one comes out?,Stamp chosen.,NO,Take the stamp,Try Again,negative,summary
CON-INITIATION,First,"Sit down, let's talk price","Sit down. You need someone to build this thing — I'm your guy. Quality, cost, schedule — pick two, but I'll be straight with you on all three. Cheap crew costs you on the back end. Good crew costs you up front. Your call.","Quality and cost multiplier on the table. Sign the contractor, or push back on the price.",Contractor hired. Dig starts soon.,YES,Sign the contractor,Push back on the price,summary,
CON-INITIATION,Subsequent,Change order on the table,"Look — things shifted on site. Found something we couldn't see in the drawings. I need a change order. Time extension, extra fee. Not unreasonable. But it's not free either.","Approve the change order, or push back.",Change order accepted.,YES,Approve the change order,Push back on the change order,summary,
CON-ISSUES,First,We hit something in the field,Boss — we hit something in the field. Wasn't on the drawings. Every hour we're stopped costs you. Need to swap a body in for the right specialist. We can fix it on site if we move now.,Swap a contact for the right specialist. Try to fix it on site.,Issue addressed. Moving on.,No,Move past it,Try Again,negative,summary
CON-ISSUES,Subsequent,Another one in the field,"Boss — another one. Construction sites don't hand you problems one at a time, they pile up. Every day we're slowed costs you. Push hard or eat the delay.",Push hard to head off the delay. No time to spare.,Issue handled.,No,Move past it,Try Again,negative,summary
CON-INSPECT,First,Inspector just walked in,"Boss — inspector just walked onto the site. Looks fresh, that cuts both ways. There's a safety violation by the southwest corner — let me steer them somewhere else while you handle the paperwork.",Steer their attention elsewhere. See if it works.,Inspection complete.,No,Wrap the inspection,Try Again,negative,summary
CON-INSPECT,Subsequent,Johnes is back for the follow-up,"Boss — Inspector Johnes is back. He never liked you, but he's fair. Frank's crew just wrapped, two of his guys can join us for the walk. Extra eyes, extra hands. Keep our story straight.","Walk the site with the inspector. Steady answers, no volunteered info.",Follow-up complete.,No,Wrap the walkthrough,Try Again,negative,summary
REG-DOB-FINAL-REVIEW,First,Final review counter,Final review. Birthday party in the back office — everything's running an hour late. You picked a good day to come in. Maybe your file gets a softer read. Maybe.,"Accept the verdict, or ask for another pass.",Final verdict is in.,YES,Accept the verdict,Ask for another pass,negative,summary
REG-DOB-FINAL-REVIEW,Subsequent,"Final review, second pass",Bad day at the counter. Supervisor's consoling a clerk who just got chewed out. Files are crawling. Hope nobody notices the photocopy where the original should be.,"Accept the verdict, or ask for another pass.",Final verdict is in.,YES,Accept the verdict,Ask for another pass,negative,summary
FINISH,First,You delivered,"You delivered. Took longer than I wanted, cost more than I budgeted — but it's done, and it's done right. That's what matters in the end. Good work.",Final score gets calculated here.,Project delivered. Score incoming.,No,End the project,Try Again,,story
FINISH,Subsequent,Project Complete!,You Completed project!,YOU ARE done! Calculate final score.,,No,End Turn,Try Again,,story
