id,term,definition_simple,definition_technical,instructions,category,source,needs_review,aliases,related_terms,image_url,video_url,source_url,instagram_link,last_used_as_wotd
dob-now,DOB NOW,,"An online system created by the NYC Department of Buildings to make it easier for homeowners and professionals to handle building permits, inspections, and construction-related paperwork. Users can track permits, schedule inspections, and submit documents online.",,Agencies,iqarius,False,,dob|efiling|permit,https://iqarius.com/wp-content/uploads/2025/11/DOBNOW.jpg,,,,
dot,DOT,,"NYC Department of Transportation - issues over 150 different types of sidewalk and roadway construction permits to utilities, contractors, government agencies, and homeowners.",,Agencies,iqarius,False,Department of Transportation,permit|sidewalk|street,https://iqarius.com/wp-content/uploads/2024/12/DOT.jpg,,,,
ecb,ECB,,"Environmental Control Board - a division of NYC's Office of Administrative Trials and Hearings (OATH) that holds hearings on violations issued by city agencies like DOB, DEP, and FDNY. ECB determines responsibility for violations and assesses fines as an independent tribunal.",,Agencies,iqarius,False,Environmental Control Board,violation|penalty|oath,https://iqarius.com/wp-content/uploads/2025/01/Zrzut-ekranu-2025-01-10-065335.png,,,,
efiling,eFiling,,"An online platform that property owners, architects, engineers, and contractors use to submit and manage building permit applications and other related filings in NYC.",,Processes,iqarius,False,electronic filing,dob-now|permit|applicant-of-record,,,,,
engineer,Engineer,,"[AI-DRAFT] A licensed professional who designs structural, mechanical, electrical, or plumbing systems for buildings. Works with architects to ensure buildings are safe and functional.",,Professionals,game,True,PE|Professional Engineer,architect|contractor|design,,,,,
epa,EPA,,"Environmental Protection Agency - federal agency (not NYC) that shapes what property owners must do to protect air, water, and environmental health. Enforces lead-based paint violations, drinking water contamination, asbestos and pesticide mishandling. EPA requirements supersede local DEP and DOB rules.",,Agencies,iqarius,False,Environmental Protection Agency,dep|asbestos|violation,,,,,
expeditor,Expeditor,,"A DOB-registered filing representative (NYC expeditor) who streamlines building permit processes. They submit applications, present projects to DOB clerks and examiners, address objections, and coordinate approvals. With decades of experience, expeditors specialize in accelerating DOB and other agency approvals.",,Professionals,iqarius,False,filing representative|permit expeditor,permit|dob|plan-exam,https://iqarius.com/wp-content/uploads/2025/11/expeditor.jpg,,,,
facade,Facade,,"[AI-DRAFT] The exterior face of a building, typically the front. Facade work includes repairs, cleaning, and decorative improvements to the building's exterior.",,Construction,game,True,,renovation|exterior|masonry,,,,,
failure-to-comply,Failure to Comply,,Not correcting a cited issue by the specified deadline and/or failing to certify the correction to the issuing agency. Results in escalating penalties.,,Legal,iqarius,False,FTC,violation|certificate-of-correction|penalty,,,,,
fdny,FDNY,,"Fire Department of New York - agency responsible for fire safety inspections, sprinkler and fire alarm permits, and fire code compliance.",,Agencies,game,False,Fire Department,inspection|sprinkler|fire-safety,,,,,
filing,Filing,,"[AI-DRAFT] The formal submission of construction documents, plans, and applications to DOB for review and approval. Different filing types include new building, alteration, and demolition.",,Processes,game,True,,permit|dob|applicant-of-record,,,,,
final-review,Final Review,,[AI-DRAFT] The last stage of DOB review before a permit is issued or a certificate of occupancy is granted. Includes final document review and inspections.,,Processes,game,True,,inspection|certificate-of-occupancy|permit,,,,,
fire-code-violation,Fire Code Violation,,"Violations issued by FDNY for non-compliance with fire safety regulations including blocked exits, missing fire extinguishers, or faulty sprinkler systems.",,Legal,iqarius,False,,fdny|violation|safety,,,,,
fisp,FISP,,Facade Inspection Safety Program - NYC requirement for buildings over 6 stories to have their facades inspected every 5 years by a licensed professional.,,Processes,iqarius,False,Facade Inspection Safety Program|Local Law 11,facade|inspection|safety,,,,,
fixer-upper,Fixer-Upper,,A property requiring significant repairs or renovations before occupancy. Often purchased below market value with intent to renovate.,,Construction,iqarius,False,,renovation|investment|property,,,,,
foundation,Foundation,,"Building foundations rest on solid ground and spread the building's weight within safe limits for the soil. Must comply with NYC Building Code requiring proper soil support, adequate depth (typically 4 feet below frost line), and detailed geotechnical planning.",,Construction,iqarius,False,,structural|underpinning|excavation,https://iqarius.com/wp-content/uploads/2025/11/building-foundation.jpg,,,,
gas-meter,Gas Meter,,"Owners must ensure gas meters remain in clean, dry locations free of refuse, at least 3 feet from hazards. Storage of combustibles prohibited within 5 feet. Natural gas piping is prone to leaks near meters.",,Construction,iqarius,False,,plumbing|safety|inspection,,,,,
green-building,Green Building,,"[AI-DRAFT] Construction that incorporates environmentally sustainable practices including energy efficiency, renewable materials, and reduced environmental impact.",,Construction,game,True,sustainable building,leed|energy-efficient|retrofit,,,,,
hpd,HPD,,"Department of Housing Preservation and Development - NYC agency that issues violations when properties violate housing code standards, covering problems like broken equipment, leaks, poor hygiene, or pest issues.",,Agencies,iqarius,False,Department of Housing Preservation and Development,violation|residential|housing,,,,,
hvac,HVAC,,"[AI-DRAFT] Heating, Ventilation, and Air Conditioning - the mechanical systems that control a building's climate. HVAC work often requires permits and inspections.",,Construction,game,True,Heating Ventilation Air Conditioning,mechanical-systems|permit|contractor,,,,,
illegal-conversion,Illegal Conversion,,"Converting a space to residential use without proper permits or in violation of zoning laws. Common examples include converting basements, attics, or commercial spaces to apartments.",,Legal,iqarius,False,,violation|basement|certificate-of-occupancy,,,,,
incident,Incident,,"The DOB term for occurrences caused by construction or demolition activity that may or may not result in injury, such as structural failures, equipment collapses, or near-misses.",,Legal,iqarius,False,accident,swo|violation|safety,,,,,
inspection,Inspection,,"An official examination of construction work by DOB, FDNY, or other agencies to verify compliance with approved plans and building codes.",,Processes,iqarius,False,,inspector|permit|violation,,,,,
inspector,Inspector,,"NYC inspectors check homes to keep them safe and ensure they follow city rules. DOB inspectors oversee construction, zoning, and major repairs. HPD housing inspectors handle rentals for heat, hot water, pests, leaks, lead paint, and smoke detectors. Both enforce codes through scheduled or surprise visits.",,Professionals,iqarius,False,,inspection|dob|violation,https://iqarius.com/wp-content/uploads/2024/11/home-inspector.jpg,,,,
investor,Investor,,[AI-DRAFT] An individual or organization that provides capital for construction projects in exchange for ownership stake or expected returns.,,Finance,game,True,,bank|loan|owner,,,,,
joist,Joist,,Horizontal structural members that support floors and ceilings. Joists transfer loads to beams and walls. Common in wood-frame and steel construction.,,Construction,iqarius,False,,structural|construction|beam,,,,,
kitchen,Kitchen,,"A living room used for cooking with 80+ square feet of floor area, classifying it as habitable space requiring light and air. NYC kitchens must have proper ventilation, sink with running water, and fire-retarded materials.",,Construction,iqarius,False,,renovation|permit|residential,,,,,
laa,LAA,,"Limited Alteration Application - a DOB filing method used for minor alterations with a defined scope of work, such as correcting plumbing violations.",,Documents,iqarius,False,Limited Alteration Application,alteration|permit|filing,,,,,
leed,LEED,,"[AI-DRAFT] Leadership in Energy and Environmental Design - a green building certification program that rates buildings on sustainability, energy efficiency, and environmental impact.",,Construction,game,True,Leadership in Energy and Environmental Design,green-building|certification,,,,,
lmp,LMP,,Licensed Master Plumber - a qualified professional required to perform plumbing work and submit necessary paperwork to the DOB in NYC.,,Professionals,iqarius,False,Licensed Master Plumber,plumbing|license|contractor,,,,,
loan,Loan,,[AI-DRAFT] Borrowed money used to finance construction projects. Construction loans are typically short-term and convert to mortgages upon project completion.,,Finance,game,True,,bank|underwriting|interest,,,,,
loc,LOC,,Letter of Completion - a document issued by DOB confirming that construction work has been completed in accordance with approved plans and permits.,,Documents,iqarius,False,Letter of Completion,permit|inspection|final-review,,,,,
mdl,MDL,,"Multiple Dwelling Law - NY State statute defining 'private dwellings' (1-2 families) and 'multiple dwellings' (3+ families). Class A = permanent residence (30+ days), Class B = transient occupancy (hotels). Imposes rules on design, safety, fire protection, and occupancy.",,Legal,iqarius,False,Multiple Dwelling Law,apartment-building|residential|zoning,https://iqarius.com/wp-content/uploads/2025/11/apartment-building-350-260.jpg,,,,
mechanical-systems,Mechanical Systems,,"[AI-DRAFT] The non-structural systems in a building including HVAC, plumbing, electrical, and fire protection. Mechanical work requires specialized permits.",,Construction,game,True,,hvac|plumbing|electrical,,,,,
mixed-use-development,Mixed-Use Development,,"[AI-DRAFT] A building or project that combines residential, commercial, and/or industrial uses. Common in urban areas to maximize land use efficiency.",,Construction,game,True,mixed-use,residential|commercial|zoning,,,,,
mold,Mold,,A fungal growth that can develop in damp building conditions. Mold remediation may require professional handling and can be cited as an HPD violation.,,Construction,iqarius,False,,hpd|violation|remediation,,,,,
negotiation,Negotiation,,"[AI-DRAFT] The process of discussing terms between parties in a construction project, such as contract terms, change orders, or dispute resolution.",,Processes,game,True,,change-order|contractor|owner,,,,,
notice-of-violation,Notice of Violation,,An official document sent by a NYC agency to inform a property owner that something on their property might not follow local building or safety codes.,,Documents,iqarius,False,NOV,violation|failure-to-comply|penalty,,,,,
nycha,NYCHA,,"New York City Housing Authority - the largest public housing authority in North America, managing affordable housing for over 400,000 residents across 335 developments. Also administers Section 8 vouchers for 235,000+ people in private rentals.",,Agencies,iqarius,False,New York City Housing Authority,hpd|residential|housing,,,,,
oath,OATH,,"Office of Administrative Trials and Hearings - NYC's central, independent administrative law court that handles hearings for violations issued by city agencies.",,Agencies,iqarius,False,Office of Administrative Trials and Hearings,violation|ecb|penalty,,,,,
owner,Owner,,"[AI-DRAFT] The property owner who initiates and funds a construction project. The owner hires professionals like architects, engineers, and contractors.",,Professionals,game,True,property owner,project-manager|contractor|investor,,,,,
penalty,Penalty,,[AI-DRAFT] Financial fines imposed for building code violations. Penalties can accumulate daily until violations are corrected and certified.,,Legal,game,True,fine,violation|failure-to-comply|ecb,,,,,
permit,Permit,,"Official authorization from NYC's Department of Buildings allowing construction, alteration, demolition, or related work. Permits ensure compliance with building codes, safety regulations, and zoning laws. Types include New Building, Alteration (Types 1-3), and specialized permits.",,Documents,iqarius,False,building permit,dob|filing|inspection,https://iqarius.com/wp-content/uploads/2024/04/building-permit2.jpg,,,,
plan-exam,Plan Exam,,[AI-DRAFT] The DOB review process where examiners check construction plans for code compliance. Can result in objections that must be resolved before approval.,,Processes,game,True,plan examination,dob|prof-cert|audit,,,,,
plan-examiner,Plan Examiner,,[AI-DRAFT] A DOB employee who reviews construction plans and drawings to ensure they comply with building codes before issuing permits.,,Professionals,game,True,,dob|plan-exam|permit,,,,,
plumbing,Plumbing,,[AI-DRAFT] The water supply and drainage systems in a building. Plumbing work requires permits and must be performed by licensed plumbers.,,Construction,game,True,,lmp|permit|mechanical-systems,,,,,
plumbing-violations,Plumbing Violations,,"Violations when plumbing systems fail to meet NYC Plumbing Code standards. Common causes: improper drain slopes, missing clean-outs, incorrect fittings or materials, inadequate fixture clearance.",,Legal,iqarius,False,,violation|lmp|plumbing,,,,,
prof-cert,Professional Certification,,"[AI-DRAFT] A faster DOB approval path where a licensed professional certifies that plans comply with code, bypassing standard plan examination. Subject to audit.",,Processes,game,True,Prof Cert|professional certification,plan-exam|audit|architect,,,,,
project-manager,Project Manager,,"[AI-DRAFT] The professional responsible for overseeing a construction project from start to finish, coordinating between owner, designers, and contractors.",,Professionals,game,True,PM,owner|contractor|architect,,,,,
property,Property,,"Records containing Block & Lot information, existing legal plans, violation copies, sales history, parcel number, title changes, liens, square footage, year built, permits, zoning, and historical records of repairs and alterations.",,Legal,iqarius,False,,bis|acris|deed,https://iqarius.com/wp-content/uploads/2024/09/property300.jpg,,,,
pw1,PW1,,Plan/Work Application - the primary DOB application form for getting approval of construction plans and work. Required for most building projects.,,Documents,iqarius,False,Plan Work Application,permit|filing|dob,,,,,
qewi,QEWI,,Qualified Exterior Wall Inspector - a Registered Architect or Professional Engineer certified by DOB to perform exterior wall inspections under the Facade Inspection & Safety Program (FISP/Local Law 11).,,Professionals,iqarius,False,Qualified Exterior Wall Inspector,fisp|facade|inspection,,,,,
rebny,REBNY,,"Real Estate Board of New York - leading trade association founded in 1896 representing property owners, builders, managers, investors, and brokers. Establishes industry standards and advocates for real estate policies across NYC.",,Agencies,iqarius,False,Real Estate Board of New York,property|investor|real-estate,,,,,
renovation,Renovation,,"Any improvement, modification, or repair work done to a property - interiors, exteriors, structural elements, or building systems. Must comply with NYC building codes and typically requires permits. Illegal renovation = work done without proper documentation and permits.",,Construction,iqarius,False,,alteration|retrofit|permit,,,,,
residential,Residential,,"Describes the use or occupancy of a building or zoning district type. Becomes relevant when DOB rules, permits, violations, or exemptions depend on whether a building is classified as residential rather than commercial or industrial.",,Legal,iqarius,False,,zoning|apartment-building|dwelling,,,,,
retrofit,Retrofit,,"[AI-DRAFT] Upgrading an existing building with new or improved systems, such as energy-efficient equipment or seismic improvements.",,Construction,game,True,,renovation|green-building|hvac,,,,,
scaffolding,Scaffolding,,Temporary elevated platforms for construction work. NYC requires permits for supported scaffolds over 40 feet and for sidewalk sheds. 2025 standards require 12 feet minimum height and adequate lighting.,,Construction,iqarius,False,sidewalk shed,permit|dob|construction,,,,,
scope,Scope,,"[AI-DRAFT] The defined extent of work in a construction project, including what will be built, modified, or demolished. Changes to scope affect cost and timeline.",,Processes,game,True,project scope,change-order|contractor|design,,,,,
seismic-retrofit,Seismic Retrofit,,[AI-DRAFT] Structural modifications to make existing buildings more resistant to earthquakes. Required in some areas for certain building types.,,Construction,game,True,,retrofit|structural|safety,,,,,
sprinklers,Sprinklers,,[AI-DRAFT] Fire suppression systems that automatically release water when fire is detected. Sprinkler installation requires FDNY permits and inspections.,,Construction,game,True,fire sprinklers,fdny|fire-safety|permit,,,,,
swo,SWO,,Stop Work Order - an order issued when construction or repair work must be stopped because inspectors found unsafe conditions or work that could be dangerous.,,Documents,iqarius,False,Stop Work Order,violation|inspection|dob,,,,,
underpinning,Underpinning,,A construction technique to strengthen or deepen existing foundations. Required when excavating near existing buildings or when foundations are inadequate.,,Construction,iqarius,False,,foundation|excavation|structural,,,,,
underwriting,Underwriting,,"[AI-DRAFT] The process by which a bank or lender evaluates a construction project's risk and determines loan terms, amount, and interest rate.",,Finance,game,True,,bank|loan|investor,,,,,
unpermitted,Unpermitted,,Work or installations completed without proper authorization or permits from NYC authorities. Unpermitted work can result in violations and fines.,,Legal,iqarius,False,unpermitted work,permit|violation|legalization,,,,,
unsafe-building,Unsafe Building,,"A structure that poses risks to occupants or the public due to structural defects, fire hazards, or other dangerous conditions.",,Legal,iqarius,False,,violation|swo|inspection,,,,,
variance,Variance,,[AI-DRAFT] An exception to zoning rules granted by the city allowing a property to be used in a way not normally permitted. Requires approval from the Board of Standards and Appeals.,,Legal,game,True,zoning variance,zoning|bsa|permit,,,,,
violation,Violation,,"Notices issued by NYC agencies such as DOB, ECB, and HPD for non-compliance with building, housing, safety, or environmental codes. Violation classes: Class A (most dangerous - fix immediately), Class B (hazardous - 30 days), Class C (non-hazardous - 90 days).",,Legal,iqarius,False,,penalty|failure-to-comply|inspection,https://iqarius.com/wp-content/uploads/2025/01/violation350.jpg,,,,
wo-permit,W/O Permit,,"Work Without a Permit - construction or alteration work performed without obtaining the necessary DOB permit. The most common violation type in NYC building code enforcement. Can result in fines, mandatory corrections, and additional penalties if hazardous conditions are present.",,Legal,iqarius,False,Work Without Permit|without permit,violation|permit|unpermitted,,,,,
zoning,Zoning,,"[AI-DRAFT] Local laws that regulate how land and buildings can be used in different areas. Zoning determines what can be built, how tall, and what uses are permitted.",,Legal,game,True,zoning resolution,variance|zoning-consulting|dob,,,,,
zoning-consulting,Zoning Consulting,,Expert advice and services related to understanding and complying with the NYC Zoning Resolution and other building codes.,,Processes,iqarius,False,,zoning|variance|expeditor,,,,,
fire-department-of-new-york-fdny,Fire Department of New York (FDNY),,The agency responsible for fire protection and emergency medical services in New York City.,,Government Agency,Newsletter,False,,DOB (Department of Buildings),,,,,
stop-work-order,stop-work order,,"A legal order from a government agency that requires construction or other work to be halted, typically due to safety or compliance issues.",,regulatory,NYC construction update,False,cease and desist order,,,,,,
emissions,Emissions,,The greenhouse gas emissions produced by a building,,Technical,SOLID,False,Carbon Emissions,Greenhouse Gas Emissions,,,,,
emissions,Emissions,,The amount of greenhouse gases released into the atmosphere by a building.,,Metric,CUNY Building Performance Lab,False,Carbon emissions,,,,,,
55-a-program,55-a Program,,"A program that allows the City of New York to hire individuals with disabilities, even if they do not meet the minimum qualifications for a civil service title.",,Processes,auto-collected,False,,,,,,,
55-a-program,55-a Program,,A New York City program that provides employment opportunities for individuals with disabilities.,,Agencies,auto-collected,False,,,,,,,
certificate-of-occupancy,Certificate of Occupancy,,A document issued by the Department of Buildings that certifies a building or structure is in compliance with applicable building codes and can be legally occupied.,,Documents,auto-collected,False,,,,,,,
certificate-of-occupancy,Certificate of Occupancy,,A document issued by a local government agency or building department certifying that a building or structure complies with applicable building codes and regulations and can be legally occupied.,,Documents,auto-collected,False,,,,,,,
dcas,DCAS,,"The New York City Department of Citywide Administrative Services is an agency responsible for managing the civil service system, city real estate, and providing support services to other city agencies.",, the agency responsible for the civil service system in New York City.,Agencies,False,Department of Citywide Administrative Services,,,,,,
community-development-financial-institution,Community Development Financial Institution (CDFI),,A specialized financial institution that works in market niches that are underserved by traditional financial institutions.,,Finance,auto-collected,False,,,,,,,
facade-inspection-safety-program-fisp,Facade Inspection & Safety Program (FISP),,A NYC regulatory program that requires periodic inspections and repairs of building facades to ensure public safety.,,Regulation,NYC Department of Buildings,False,Facade Inspection Service Program,Local Law 11,,,,,
sidewalk-shed,Sidewalk shed,,A temporary structure erected over a sidewalk to protect pedestrians from falling debris during construction or facade work.,,Construction,NYC Department of Buildings,False,Sidewalk canopy,Pedestrian protection,,,,,
get-sheds-down,Get Sheds Down,,A DOB initiative to reduce the number of unnecessary and long-standing sidewalk sheds across NYC.,,Regulation,NYC Department of Buildings,False,Shed removal,Facade repairs,,,,,
local-law-11,Local Law 11,,The NYC law that established the Facade Inspection & Safety Program (FISP).,,Regulation,NYC Department of Buildings,False,FISP,Facade inspections,,,,,
ems,EMS,TEST: This is a simple definition for EMS.,Emergency Medical Services.,"TEST: Step 1. Call 911.
Step 2. Wait for help.",Agencies,auto-collected,False,EMT|Paramedic,,,,,,
